insurance:VA,amenity,insurance:KFAW,building:levels:aboveground,office,healthcare:speciality,lon,contact:website,social_facility,addr:suburb,addr:housenumber_1,opening_hours:description,alt_name,full_name,social_facility:for,operator,insurance:GKK,insurance,addr:housenumber,addr:district,building:levels,opening_hours,contact:phone,addr:housename,name,note,source,insurance:KFAG,email,insurance:BVA,website,fax,at_bev:addr_date,description,emergency,contact:email,building:roof,phone,old_name,lat,smoking,wheelchair:description,addr:street,building,name:en,contact:fax,addr:city,designation,addr:postcode,wheelchair,addr:place,insurance:SVA,healthcare,toilets:wheelchair,addr:country,addr:street_1
,dentist,,,,dental_oral_maxillo_facial_surgery,15.4411735,,,,,,,,,Dr. Moro,,,12,,,,,Dr. Gabi Moro,Dr. Gabi Moro,"Dr. Gabriele Moro: Zahn-, Mund- und Kieferheilkunde",,,,,,,2019-10-01,,,,,+43 3456 3414,,46.7358549,,,,yes,,,Großklein,de: Zahnarzt,8452,limited,Großklein,,dentist,no,AT,
,dentist,,,,,15.6937321,,,,,,,,,,,,4a,,,Mo-Tu 08:30-13:00; We 13:00-17:00; Th 09:00-12:00,,,Dr. Gabriele Poisel,,,,,,,,,,,,,,,47.1034417,,,,yes,,,Gleisdorf,,8200,,Ludersdorf,,,,AT,
,dentist,,,,,13.1176509,,,,,,,,,,,,70,,,,,,Dr. Gerald Feldbacher,,,,,,,,2017-10-01,,,,,,,48.2034791,,,,yes,,,Burgkirchen,,5274,,Geretsdorf,,dentist,,AT,
,dentist,,,,,16.2711981,,,,,,,,,,,,1,,,,,,Dr. Gerda Sigmund,,,,,,,,,,,,,,,47.7614070,,,Eichbüchl,yes,,,Katzelsdorf,,2801,,,,,,,
,dentist,,,,,14.8818514,,,,,,,,,,,,33,,,,,,Dr. Gertrud Bucher,,,,,,,,2017-04-07,,,,,,,47.5451607,,,Hieflauer Straße,residential,,,Eisenerz,,8790,,,,,,AT,
,dentist,,,,,15.4496177,,,,,,,,,,,,10,,,"Mo 09:00-12:00, 14:00-17:00; Tu 14:00-17:00; We,Th 09:00-12:00, 14:00-17:00; Fr 08:00-12:00",,,Dr. Helmut Teubenbacher,,,,,,,,,,,,,,,47.5072476,,,Hauptstraße,yes,,,Kindberg,,8650,,,,,,,
,dentist,,,,,14.4166132,,,,,,,,,,,,5a,,,,,,Dr. Hermine Plessl,,,,,,,,,,,,,,,48.3524325,,,Marktplatz,yes,,,Gallneukirchen,,4210,,,,,,AT,
,dentist,,,,,15.6235251,,,,,,,,,,,,6,,,,,,Dr. Innauer,,,,,,http://www.zahn-innauer.at/,,,,,,,+43 3172 67676,,47.2172679,,,Dr.-Karl-Renner-Gasse,yes,,,Weiz,,8160,,,,,,AT,
,dentist,,,,,14.5808352,,,,,,,,,,,,14,,,,,,Dr. Johann Brandstötter,,,,,,,,,,,,,,,48.5008119,,,Freistädterstraße,yes,,,Sankt Oswald bei Freistadt,,4271,,,,,,AT,
,dentist,,,,,13.7458554,,,,,,,,,,,,12,,,,,,Dr. Johannes Eichhorn,,basemap.at; geoimage.at; survey,,,,,,,,,,,+43 6473 70 00,,47.1497155,,,Pfarrstraße,yes,,,Mariapfarr,,5571,,,,,,,
,dentist,,,,,16.1076542,https://www.berndorf-zahn.at/,,,1,,,,,,,,6,,,Mo-Tu 08:00-12:00; We 10:00-19:00; Th 08:00-15:00; Fr 08:00-16:00,+43 2672 82294,,Dr. Johannes Forster,,,,,,,,,,,ordi@berndorf-zahn.at,,,,47.9472415,,,Albertstraße,yes,,,Berndorf,,2560,,,,dentist,,,Karl-Johann-Mayer-Straße
,dentist,,,,,15.5466515,,,,,,,,,,,,6,,,"Tu 08:00-12:00,14:00-17:00; We,Fr 08:00-12:00,13:00-15:00; Th 08:00-12:00,14:00-16:00",,,Dr. Karin Dangl-Grünwald,,,,,,,,,,,,,,,48.1528900,,,Austraße,yes,,,Ober-Grafendorf,,3200,,,,,,,
,dentist,,,,,13.9544235,,,,,,,,,,,,38a,,,,,,Dr. Kitzmantel,,,,,,,,,,,,,,,47.9019550,,,Hauptstraße,yes,,,Scharnstein,,4644,,,,,,AT,
,dentist,,,,,10.7417360,,,,,,,,,,,,7,,,,,,Dr. Knapp,,bing,,,,,,,,,,,,,47.2417503,,,Eichenweg,yes,,,Imst,,6460,,,,dentist,,AT,
,dentist,,,,,16.2894956,,,,,,,,,,,,17,,,,,,Dr. Kukla,,,,,,,,2017-04-07,,,,,,,47.6173071,,,Marktring,yes,,,Wiesmath,,2811,,,,,,AT,
,dentist,,,,,16.2712656,,,,,,,,,,,,8,,,,,,Dr. Lilly Krebs,Ordination,,,,,https://dr-lilly-krebs.gemeindeausstellung.at/,,2018-04-02,,,,,,,48.0084770,,,Josefsthaler Straße,yes,,,Tribuswinkel,,2512,,,,,,AT,
yes,dentist,yes,,,,15.3939588,www.zahnarzt-eggenberg.at,,,,,,,,,yes,"BVA,GKK, KFAG, KFAW, SVA, VA",95,,,,+43 316 582454,,Dr. Lukas Klatil,,,yes,,yes,,,,,,zahnarzt@klatil.at,,,,47.0604637,,Glocke vor der Eingangstür,Herbersteinstraße,office,,,Graz,,8052,limited,,yes,,,AT,
,dentist,,,,,13.9724918,,,,,,,,,,,,2,,,,,,Dr. Maria Ditcheva,,,,praxis@ditcheva.at,,http://www.ditcheva.at/,+43 (0)7281 6595,,,,,,+43 (0)7281 6595,,48.6474594,,,Schlossergasse,yes,,,Aigen-Schlägl,,4160,,,,,,AT,
,dentist,,,,,16.6268922,,,,,,,,,,,,77,,,"Mo, Tu 08:30-12:00, 15:00-17:30; Th 15:00-17:30; Fr 08:30-12:00, 15:00-17:30",,,Dr. Mathias Karall,,,,zahnarzt@dr-karall.at,,http://www.dr-karall.at/,,,,,,,+43 2613 80713,,47.5983184,,,Hauptstraße,yes,,,Deutschkreutz,,7301,,,,,,AT,
,dentist,,,,,13.8731121,,,,,,,,,,,,7,,,,,,Dr. Nada Kosarevic,,,,,,,,,,,,,+43-7245-20656,,48.0964534,,,Sparkassensiedlung,yes,,,Lambach,,4650,,,,,,AT,
,dentist,,,,,13.4854365,,,,,,,,,,,,119,,,Mo 13:00-17:00; Tu 08:00-12:00; We 13:00-18:00; Th-Fr 08:00-12:00; Sa off; Su off,,,Dr. Neubrandt Adam,,,,,,https://www.zahnarzt-pramet.at/,,2017-10-01,,,,,+4377548626,,48.1438949,,,,yes,,,Pramet,,4925,,Pramet,,dentist,,AT,
,dentist,,,,,10.7377209,,,,,,,,,,,,23,,,,,,Dr. Philip Graf,,,,,,,,,,,,,,,47.2407993,,,Sirapuit,yes,,,Imst,,6460,,,,,,AT,
,dentist,,,,,13.1479584,,,,,,,,,,,,32,,,,+43 6415 4361,,Dr. Piazzi,,geoimage.at,,,,,,,,,,,,,47.3206856,,,Salzburgerstraße,yes,,+43 6415 4361,Schwarzach im Pongau,,5620,,,,,,AT,
,dentist,,,,,15.8003263,,,,,,,,,,,,13,,,,,,Dr. Reinhard Fürtinger,,,,,,,,,,,,,,,47.2424117,,,,house,,,Stubenberg,,8223,,Stubenberg,,,,AT,
,dentist,,,,,14.2551118,,,,,,,,,,,,18,,,"Mo 08:00-12:00,13:00-18:30; Tu 08:00-12:00,13:00-17:00; We,Th 08:00-12:00; Fr 13:00-18:30",+43 732 682063,,Dr. Reinhard Gratzl,,,,,,,,,,,,,,,48.2445109,,,Eigenheimstraße,house,,,Leonding,,4060,,,,,,AT,
,dentist,,,,,14.4248407,,,,,,,Dr. Ernst Reither,,,,,8,,,"Mo,We 08:00-12:00; Tu,Th 14:00-18:00; Fr 07:00-11:00",,,Dr. Reither,,geoimage.at,,,,,,,,,,,,,48.3407331,,,Gusenbachstraße,yes,,,Schweinbach,,4209,,,,,,AT,
,dentist,,,,,13.6593012,,,,,,,,,,,,11,,,"Mo- Fr 8:00-11:00, Tu Th 15:00-17:30",,,Dr. Robert Kepplinger,,,,office@drkepplinger.at,,https://www.drkepplinger.at/,+43 7672 72611 / 20,,,,,,+43 7672 72611,,48.0123664,,,Stülzstraße,residential,,,Vöcklabruck,,4840,,,,,,AT,
,dentist,,,,,15.7769539,http://www.atzlsdorfer.com/,,,,,,,,,,,86,,,Mo-We 8:00-14:00,+43 3115 21730,,Dr. Roland Azelsdorfer,,,,,,,,,,,,,,,47.0073463,,,,residential,,,Eichkögl,,8322,,Erbersdorf,,,,,
,dentist,,,,,9.6866706,,,,,,,,,,,,53,,,,,,Dr. Roman Jahoda,,geoimage.at,,,,,,,,,,,,,47.4837643,,,Landstraße,yes,,,Hard,,6971,,,,,,AT,
,dentist,,,,,15.0611216,,,Donawitz,,,,,,,,,5,,,Mo 07:30-11:30; Tu-We 07:30-14:30; Th 07:30-11:30; Fr 07:30-10:30,+43 3842 24572,,Dr. Rudolf Deisinger,,"http://stmk.zahnaerztekammer.at, local knowledge",,,,,,,,,,,,,47.3772334,,,Waldgasse,yes,,,Leoben,,8700,no,,,,,AT,
,dentist,,,,,15.5889301,,,,,,,,,,,,67,,,,+43 3133 2725,,Dr. Sabine Zitz Brandstätter,,geoimage.at,,,,,,2018-10-01,,,,,,,47.0751053,,,Hauptstraße,house,,,Laßnitzhöhe,,8301,,,,,,AT,
,dentist,,,,,14.5316589,,,,,,,,,,,,3,,,,,,Dr. Schröckmair,,,,,,,,,,,,,,,48.1755472,,,Remserstraße,house,,,Sankt Valentin,,4300,,,,,,AT,
,dentist,,,,,14.4251315,,,,,,,,,,,,312,,,,,,Dr. Slana,,,,,,,,,,,,,,,48.2581799,,,Im Fall,yes,,,Luftenberg an der Donau,,4225,,,,dentist,,,
,dentist,,,,,13.8450545,,,,,,,,,,,,71,,,"Mo,We,Fr 08:00-13:00; Tu,Th 13:00-19:00",,,Dr. Thaler,,,,,,http://www.dr-thaler.at/,,,,,,,,,46.5974289,,,Heidenfeldstraße,yes,,,Villach,,9500,,,,,,,
,dentist,,,,,16.0930669,,,,,,,,,,,,4,,,"Tu,Th 09:00-18:00; We,Fr 09:00-12:00; PH off",,,Dr. Thomas Kienmayer,,,,,,,,2017-10-01,,,,,,,48.3971286,,,Schulgasse,yes,,,Hausleiten,,3464,,,,,,AT,
,dentist,,,,dentist,15.4966741,,,,,,,,,Dr.in med. dent. Barbara Gumhalter,,,51,,,,,,Dr. Wagner's Team (Zahnpraxis),,geoimage.at,,,,https://www.zahnarzt-wagner.at/,,,,,,,+43 316 402033,,47.0284272,,,Josef-Krainer-Straße,yes,,,Raaba,,8074,,,,dentist,,AT,
,dentist,,,,,13.6667176,,,,,,,,,,,,264,,,,,,Dr. Walter Schaller,,basemap.at 2016,,,,,,2017-04-07,,,,,,,46.7004947,,,Koschatweg,yes,,,Paternion,,9710,,,,,,AT,
,dentist,,,,,14.2580702,,,Wölfnitz,,,,,,,,,1,,,,,,Dr. Wolfgang Radl,,bing,,,,,,,,,,,,,46.6674765,,,Pitzelstättenweg,yes,,,Klagenfurt am Wörthersee,,9061,,,,dentist,,AT,
,dentist,,,,,15.5651110,,,,,,,,,,,,8,,,,,,Dr. Wolfgang Schmutzer,,,,,,,,,,,,,,,48.2567066,,,Neidlinger Straße,yes,,,Karlstetten,,3121,,,,,,,
,dentist,,,,,15.4045299,,,,,,,,,Dr. Wolfgang Skalnik,,,142A,,1,"Mo,We,Fr,Sa 8:00-11:00; Tu,Th 8:00-11:00,15:00-18:00",,,Dr. Wolfgang Skalnik,"Dr. Wolfgang Skalnik: Zahn-, Mund- und Kieferheilkunde",,,,,,,,,,,,,,46.6747579,,,Remschniggstraße,yes,,,Arnfels,,8454,,,,dentist,,,
,dentist,,,,,15.4664873,,,,,,,,,,,,29,,,,,,Dr. Wolfgang Zahnarzt in Graz,,GeoImage.at,,,,http://zahnarzt-in-graz.com,,,,,,,,,47.0347680,,,Wichnergasse,yes,,,Graz,,8041,,,,,,AT,
,dentist,,,,,16.5679765,,,,,,,,,,,,7,,,"Mo,Tu 13:00-17:30; Th,Fr 07:30-12:00; We,Sa,Su,PH off",,,Dr. Zikowsky Andrea,,,,,,,,,,,,,+43 2247 2500,,48.3011130,,,Schillerstraße,house,,,Deutsch-Wagram,,2232,,,,dentist,,AT,
,dentist,,,,,16.5738874,,,,,,,,,,,,1,,,"Mo,Tu 08:00-19:00; We,Th 08:00-14:00; Fr ""nach Terminvereinbarung""; Sa,Su,PH off",,,Dr. med. dent. Ursula List MSc,,,,mail@drlist.at,,http://www.drlist.at/,,,"Wahlärztin aller Kassen, Kassenärztin SVA & KFA",,,,+43 2247 21519,,48.3046632,,,Dr. Leopold Figl-Gasse,detached,,,Deutsch-Wagram,,2232,,,,dentist,,AT,
,dentist,,,,,15.0319516,,,,,,,,,,,,5a,,,Mo 14:00-18:00; Tu 09:00-13:00; We 11:00-16:00; Th 08:30-12:30; Fr 08:30-11:30,,,Dr.med.dent Hanna Mauritsch,,,,,,,,2019-10-01,,,,,+43 3842 22 9 25,,47.3982111,,,Schulstraße,yes,,,Sankt Peter-Freienstein,,8792,,,,dentist,,AT,
,dentist,,,,,13.4858053,,,,,,,,,,,,3,,,,,,DrDr. Klaus Huber,,,,,,,,2017-04-07,,,,,,,48.2046422,,,Dr.-Dorfwirth-Straße,yes,,,Ried im Innkreis,,4910,,,,,,AT,
,dentist,,,,,13.5417903,,,,,,,,,,,,32,,,,,,Eder-Resch,,,,,,,,2017-10-01,,,,,,,48.0417014,,,,yes,,,Neukirchen an der Vöckla,,4872,,Weyr,,,,AT,
,dentist,,,,,14.4751118,,,,,,,,,,,,11a,,,,,,Ordination Dr. Huber,,geoimage.at,,,,http://www.ordination-drhuber.at/,,,,,,,,,48.2122497,,,Dr. Karl-Renner-Straße,house,,,Enns,,4470,,,,,,AT,
,dentist,,,,,13.4992951,,,,,,,,,,,,5,,,,,,Praxis Dr. Csilla Gotthard,,bing,,,,,,,,,,,,,48.5205638,,,Laurentiusweg,yes,,,Schardenberg,,4784,,,,,,,
,dentist,,,,,16.3400244,,,,,,,,,,,,8A,,,,,,Susanne Strigl;Heide Seyss-Windischbauer,,,,,,,,,,,,,,,48.2510825,,,Alfred-Wegener-Gasse,yes,,,Wien,,1190,,,,,,AT,
,dentist,,,,,14.8171542,,assisted_living,,,,,,senior,Volkshilfe Steiermark,,,11,Murtal,,,,,Volkshilfe Sozialzentrum,,plan.at 2009,,,,,,,,,,,,,47.2075763,,,Mozartgasse,yes,,,Knittelfeld,,8720,,,,dentist,,AT,
,dentist,,,,,13.7805142,,,,,,,,,,,,71,,,,,,Walter Walcher,,,,,,,,,,,,,,,47.6098195,,,Ischler Straße,yes,,,Bad Aussee,,8990,,,,dentist,,AT,
,dentist,,,,,15.2872013,,,,,,,,,,,,11,,,,,,Zahnambulatorium Betriebskrankenkasse Böhler Kapfenberg,,geoimage.at,,,,,,2019-10-01,,,,,,,47.4424311,,,Friedrich-Böhler-Straße,yes,,,Kapfenberg,,8605,,,,,,AT,
,dentist,,,,,14.8812623,,,,,,,,,,,,1,,,,+43 50405-36450,,Zahnambulatorium Eisenerz der BVAEB,,,,,,https://www.bvaeb.sv.at/cdscontent/?contentid=10007.850274&portal=bvaebportal,,,,,ast.eisenerz@bvaeb.sv.at,,,Zahnambulatorium der VAEB,47.5455505,,,Hammerplatz,yes,,,Eisenerz,,8790,,,,dentist,,AT,
,dentist,,,,,14.3064962,http://www.ooegkk.at,,,,,Zahnambulatorium Gebietskrankenkasse Oberösterreich,,,,,,2a,,,Mo-Th 06:45-14:15; Fr 06:45-13:00,+43 5 7807103300,,Zahnambulatorium Linz Derfflingerstraße,,,,,,,,,,,zahnambulatorium.linz@ooegkk.at,,,,48.3054755,,,Derfflingerstraße,office,Dental ambulatory Derfflingerstraße,+43 5 7807103310,Linz,,4020,yes,,,,,AT,
,dentist,,,,,14.3093239,http://www.ooegkk.at,,,,,Zahnambulatorium Gebietskrankenkasse Oberösterreich,,,,,,2,,,Mo-Th 06:45-14:15; Fr 06:45-14:00,+43 5 7807-213300,,Zahnambulatorium Linz Hafenstraße,,,,,,,,,,,zahnambulatorium.hafenstrasse@ooegkk.at,,,,48.3183119,,,Industriezeile,apartments,Dental ambulatory Linz Hafenstraße,+43 5 7807-213310,Linz,,4020,,,,,,AT,
,dentist,,,,,14.3129210,http://www.ooegkk.at,,,,,Zahnambulatorium Gebietskrankenkasse Oberösterreich,,,,,,58,,,Mo-Th 06:45-14:15; Fr 06:45-14:00,+43 5 7807-233300,,Zahnambulatorium Linz Kleinmünchen,,,,,,,,,,,zahnambulatorium.kleinmuenchen@ooegkk.at,,,,48.2536999,,,Zeppelinstraße,house,,+43 5 7807-233310,Linz,,4030,,,,,,AT,
,dentist,,,,,14.3195852,http://www.ooegkk.at,,,,,Zahnambulatorium Gebietskrankenkasse Oberösterreich,,,,,,2-4,,,Mo-Th 06:45-14:45; Fr 07:00-12:15,+43 5 7807-253300,,Zahnambulatorium Linz Voest,,,,,,,,,,,zahnambulatorium.voest@ooegkk.at,,,,48.2829980,,,Stahlstraße,office,Dental ambulatory Linz Voest,+43 5 7807-253310,Linz,,4020,,,,,,AT,
,dentist,,,,,15.4324102,,,,,,,,,Dr. Maier - Pfennich,,,7,,,,,,Zahnarzt,,,,,,,,2016-10-02,,,,,,,47.3910863,,,Magnesitstraße,residential,,,Breitenau am Hochlantsch,,8614,,,,dentist,,AT,
,dentist,,,,,16.6365494,,,,,,,,,,,,77,,,"Mo 13:00-19:00; Tu 08:00-14:00; We 08:00-12:00, 13:00-18:00; Th 10:00-14:00, 15:00-18:00",,,Zahnarzt,,,,,,http://www.zahnarzt-jones.com/,,,,,,,+43 2288 2335,,48.3743303,,,Hauptstraße,yes,,,Auersthal,,2214,,,,,,,
,dentist,,,,,13.4319739,,,,,,,,,,,,,,,,,,Zahnarzt,,geoimage.at,,,,,,,,,,,,,47.5136295,,,,yes,,,,,,,,,,,,
,dentist,,,,,13.8921951,,,,,,,,,,,,,,,,,,Zahnarzt,,geoimage.at,,,,,,,,,,,,,46.6411121,,,,yes,,,,,,,,,,,,
,dentist,,,physician,,15.8529596,,,,,,,,,,,,6,,,,,,Zahnarzt Dr. Elisabeth Brandstetter,,,,,,,,,,,,,+43 (2958) 833003,,48.5552027,,,Parkstraße,yes,,,Ravelsbach,,3720,,,,,,,
,dentist,,,,,16.9434794,,,,,,,,,,,,30,,,,,,Zahnarzt Dr. Heider,,geoimage.at,,,,,,,,,,,,,47.7869451,,,Neubaugasse,house,,,Sankt Andrä am Zicksee,,7161,,,,,,,
,dentist,,,,,9.6878995,,,,,Dienstag 08:00–16:00 Uhr Mittwoch 08:00–16:00 Uhr Donnerstag 08:00–16:00 Uhr Freitag 08:00–12:00 Uhr Samstag Geschlossen Sonntag Geschlossen Montag 08:00–16:00 Uhr,,,,,,,10,,3,,,,Zahnarzt Dr. Robert Immler,,Marktgemeinde Hard,,,,,,,,,,,,,47.4887804,,,Seestraße,commercial,,,Hard,,6971,,,,,,AT,
,dentist,,,,,15.0843128,,,,,,,,,,,,6,,,Mo-Th 08:00-12:00;Tu 13:00-16:00;We 12:00-14:00;Th 15:00-18:00,,,Zahnarzt Kammerer,,,,,,,,,,,,,,,48.1874546,,,Nibelungenstraße,yes,,,Persenbeug,,3680,,,,,,AT,
,dentist,,,,,13.9002964,,,,,,,,,Dr. Christa Mayr,,,9,,,Mo-Fr: 7:30-12:00; Mi: 13:00-17:00; Sa-So: geschlossen,,,Zahnarztpraxis,,geoimage.at,,,,,,,,,,,,,48.1858425,,,Gemeindeplatz,yes,,,Pichl bei Wels,,4632,,,,dentist,,AT,
,dentist,,,,,14.4187614,,,,,,,,,,,,1,,,,,,Zahnarztpraxis Steyr-Gleink,,,,,,,,,,no,,,,,48.0670865,,,Gleinker Hauptstraße,yes,,,Steyr,Dentist,4407,,,,,,AT,
,dentist,,,,,14.1145082,,,,,,,,,,,,25,,,,,,Zahnlabor Hügl GmbH,,bing,,zahnlabor.huegl@utanet.at,,http://www.zahnlabor-huegl.at,+43-7243-52434-76,,,,,,+43-7243-52434,,48.1956408,,,Goethestraße,yes,,,Marchtrenk,,4614,,,,,,AT,
,dentist,,,,,14.8738645,,,Allersdorf,,,,,,,,,22,,,,+43747262615,,Zahnlabor Roman Hojka,,basemap.at; local inspection,,,,,,,,,,,,,48.1080322,,,Allersdorfer Straße,house,,,Amstetten,,3300,,,,,,AT,
,dentist,,,,,14.0311192,,,,,,,,,,,,2,,,,,,Zahnärzteteam Velden am Wörthersee,,,,,,zahnaerzteteam.at,,,,,,,04274 3263,,46.6154244,,,Dr.-Fridolin-Unterwelz-Weg,yes,,,Velden am Wörther See,,9220,,,,,,,
