roof:levels,amenity,healthcare:speciality,lon,contact:website,roof:colour,official_name,height,wikidata,addr:approximate,operator,name:ru,addr:housenumber,name:lt,building:levels,opening_hours,image,wikipedia,source,addr:contact,addr:street,email,highway,website,emergency,phone,lat,smoking,name,building,name:en,addr:city,roof:shape,url,addr:postcode,wheelchair,roof:orientation,healthcare,postal_code,landuse,addr:country,internet_access
,hospital,,21.8291337,,,,,,,,,89,,,,,,,,J. Tumo-Vaižganto g.,,,,,,55.8991906,,Plungės ligoninė,yes,,Plungė,,,90143,,,,,,LT,
,hospital,,23.9620815,,,,,,,,,2,,,,,,,,Pušyno g.,,,,,,54.6308532,,Prienų ligoninė,hospital,,Prienai,,,59115,,,,,,,
,hospital,,23.8843373,,,,,,,,,48,,,,,,,,S. Dariaus ir S. Girėno g.,,,,,,54.8897116,,Psichiatrijos ligoninė,yes,,Kaunas,,,,,,,,,LT,
,hospital,,23.1196743,,,,,,,,,4,,,,,,,,Ligoninės g.,,,http://www.raseiniuligonine.lt/,,,55.3848480,,Raseinių ligoninė,yes,,Raseiniai,,,60127,,,,,,,
,hospital,,23.1192235,,,,,,,,,2,,,,,,,,Žemaitės g.,,,,,,55.3839344,,Raseinių pirminės sveikatos priežiūros centras,yes,,Raseiniai,,,60127,,,,,,LT,
,hospital,,23.9227688,,,,,,,,,17,,,,https://upload.wikimedia.org/wikipedia/commons/8/85/Kaunas_Red_Cross_Hospital_facade.jpg,lt:Kauno klinikinė ligoninė,,,Laisvės al.,,,,,,54.8968115,,Raudonojo Kryžiaus ligoninė,hospital,,Kaunas,,,,,,,,,,
0,hospital,,23.9221984,,,,,,,,,19,,4,,,,,,Laisvės al.,,,,,,54.8968314,,Raudonojo Kryžiaus ligoninės Traumatologijos punktas,hospital,,Kaunas,,,,,,,,,,
,hospital,,21.1327333,,,,,,,,Клайпедская республиканская больница,3,Respublikinė Klaipėdos ligoninė,,,,,,,S. Nėries g.,,,https://www.rkligonine.lt/,yes,+370 46 410 688,55.7184174,,Respublikinė Klaipėdos ligoninė,,,Klaipėda,,,,yes,,,,,,
,hospital,,25.4200161,,,,,Q2115906,,,,21,,,,,lt:Respublikinė Vilniaus psichiatrijos ligoninė,,,Parko g.,,,http://www.rvpl.lt/,,,54.6843998,,Respublikinė Vilniaus psichiatrijos ligoninė,yes,,Vilnius,,,,,,,,,,
,hospital,,25.2055004,,,,,Q15126052,,,,29,,,,,lt:Respublikinė Vilniaus universitetinė ligoninė,,yes,Šiltnamių g.,,,http://www.rvul.lt,yes,,54.6691438,,Respublikinė Vilniaus universitetinė ligoninė,,,Vilnius,,,,,,hospital,,residential,,
,hospital,,25.2780441,,,,,,,,,14,,,,,,,yes,Santariškių g.,,,,,,54.7574073,,"Respublikinė tuberkuliozės ir infekcinių ligų universitetinė ligoninė, Santariškių stacionaras",,,Vilnius,,,,,,hospital,,construction,,
,hospital,,23.9180760,,,,,,,,,25,,,,,,,,Miško g.,,,,,,54.8935407,,Respublikinės Kauno ligoninės filialas Krikščioniškieji gimdymo namai,yes,,Kaunas,,,,,,,,,,
,hospital,,23.9180853,,,,,,,,,25,,,,,,,,Miško g.,,,,,,54.8936846,,"Respublikinės Kauno ligoninės filialas Krikščioniškieji gimdymo namai, Gimdymo skyrius",yes,,Kaunas,,,,,,,,,,
,hospital,,21.1431501,,,,,,,,,6A,,,,,,,yes,Bangų g.,,,https://www.rkligonine.lt/psichiatrijos-filialas,,,55.7084306,,Respublikinės Klaipėdos ligoninės Psichiatrijos filialas,,,Klaipėda,,,91251,,,hospital,,,,
,hospital,,25.5805428,,,,,,,,,47,,,,,,,,Vytauto g.,,,,,,55.9770775,,Rokiškio psichiatrijos ligoninė,,,Rokiškis,,,,,,,,residential,,
,hospital,,25.5809962,,,,,,,,,3,,,,,,,,V. Lašo g.,,,,,,55.9709357,,Rokiškio rajono ligoninė,yes,,Rokiškis,,,,,,,,,,
,hospital,,23.8318566,,,,,Q20503706,,Kauno klinikos,,21,,,,,lt:Romainių tuberkuliozės ligoninė,,,Šilainių pl.,,,https://www.kaunoklinikos.lt/,,+370 37 362625,54.9229539,,Romainių tuberkuliozės ligoninė,hospital,,Kaunas,,,47101,,,,,,,
,hospital,,25.2819130,,,,,,,,,7,,,,,,,,Santariškių g.,,,,yes,,54.7554462,,Santariškių klinikų vaikų ligoninė,yes,,Vilnius,,,,,,,,,LT,
,hospital,,25.3846433,,,,,,,,,12A,,,,,,,,Rudaminos g.,,,,,,54.6068543,,Skaidiškių ambulatorija,yes,,Skaidiškės,,,,,,,,,,
,hospital,,22.5865227,,,,,,,,,,,,,,,,,,,,,,,55.4057937,,Skaudvilės slaugos ligoninė,,,,,,,,,,,,,
,hospital,,25.4716955,,,,,,,,,80B,,,,,,,,Švenčionių g.,,,,,,54.8526266,,Slaugos ir palaikomojo gydymo ligoninė,yes,,Nemenčinė,,,15168,,,,,,,
,hospital,,22.2824828,,,,,Q20503969,,,,,,,,,lt:Tauragės ligoninė,,,,,,,,,55.2544947,,Tauragės apskrities ligoninė,,,,,,,,,,,,,
,hospital,,22.2822013,,,,,,,,,5,,,,,,,,Jūros g.,,,,,,55.2526872,,Tauragės pirminės sveikatos priežiūros centras,house,,Tauragė,,,,,,,,,,
,hospital,,22.2334449,,,,,,,,,40,,,,,,,yes,Kalno g.,,,,,,55.9847659,,Telšių apskrities ligoninė,,,Telšiai,,,,,,,,,,
,hospital,,24.9370113,,,,,,,,,13,Trakų ligoninė,,,,,,,Mindaugo g.,,,,,,54.6375660,,Trakų ligoninė,hospital,Trakai Hospital,Trakai,,,,,,,,,,
,hospital,,24.9389920,,,,,,,,,17,,,,,,,,Mindaugo g.,,,,,,54.6373975,,Trakų pirminės sveikatos priežiūros centras,yes,,Trakai,,,,,,,,,,
,hospital,,24.8844863,,,,,,,,,,,,,,,,,,,,,,,55.5855803,,Troškūnų ambulatorija,yes,,,,,,,,,,,,
,hospital,,24.8745692,,,,,,,,,15,,,,,,,yes,Vytauto g.,,,,,,55.5868403,,Troškūnų palaikomojo gydymo ir slaugos ligoninė,,,Troškūnai,,,,,,,,,,
,hospital,,23.2987655,,,,,,,,,,,,,,,,,,,,,,,55.9419807,,Tuberkuliozės ir plaučių ligų ligoninė,yes,,,,,,,,,,,,
,hospital,,23.1966910,,,,,,,,,6,,,,,,,,J. Basanavičiaus g.,,,,,,55.5979903,,Tytuvėnų palaikomojo gydymo ir slaugos ligoninė,,,Tytuvėnai,,,,,,,,residential,,
,hospital,,25.5898788,,,,,,,,,,,,,,,,,,,,,,,55.5084744,,Utenos ligoninė,,,,,,,,,hospital,,,,
,hospital,,22.2973582,,,,,,,,,30A,,,,,,,,Birutės g.,,,,,,55.2555656,,V. Ivaščenko ambulatorija,yes,,Tauragė,,,72234,,,,,,,
,hospital,,25.2563940,,,,,,,,,15,,,,,,,,Vytauto g.,,,,,,54.6883863,,VUVL filialas Vaiko raidos centras,yes,,Vilnius,,,,,,,,,,
,hospital,,25.2938543,,,,,,,,,69,,,,,,,,Vaidilutės g.,,,,,,54.7364456,,Valakupių reabilitacijos centras,yes,,Vilnius,,,,,,,,,,
,hospital,,22.3665210,,,,,,,,,,,,,,,,,,,,,,,55.7432950,,Varnių pirminės sveikatos priežiūros centras,,,,,,,,,,,,,
,hospital,,22.3665210,,,,,,,,,,,,,,,,,,,,http://www.varniupspc.lt/page2.html,,,55.7432950,,Varnių slaugos ir palaikomojo gydymo ligoninė,,,,,,,,,,,,,
,hospital,,23.7018427,,,,,,,,,22A,,,Mo-Fr 08:00-12:00,,,,,Vilties g.,,,,,+37031856691,54.0962992,,Veisiejų ambulatorija,yes,,Veisiejai,,,,,,,,,,
,hospital,,22.6823843,,,,,,,,,28,,,,,,,,Ventos g.,,,,,,56.1891178,,Ventos ambulatorija,hospital,,Venta,,,,,,,,,,
,hospital,,23.0258955,,,,,,,,,25,Vilkaviškio ligoninė,,,,,,yes,Maironio g.,,,,,,54.6511654,,Vilkaviškio ligoninė,,Vilkaviškis hospital,Vilkaviškis,,,,,,,,residential,,
,hospital,,25.3075391,,,,,,,,,,,,,,,,,,,,,,,54.6913919,,Vilniaus Universiteto psichiatrijos klinika,yes,,,,,,,,,,,,
,hospital,,25.2925915,,,,,,,,,18A,,,,,,,,Tyzenhauzų g.,,,,,,54.6674885,,Vilniaus gimdymo namai,yes,,Vilnius,,,,,,,,,,
,hospital,,25.2366411,,,,,,,,,79,,,,,,,,Laisvės pr.,,,,,,54.7223591,,Vilniaus rajono centrinė poliklinika,yes,,Vilnius,,,,,,,,,LT,
,hospital,,25.2914674,,,,,,,,,18,,,,,,,,Tyzenhauzų g.,,,,,,54.6682392,,Vilniaus universitetinė slaugos ir ilgalaikio gydymo ligoninė,yes,,Vilnius,,,,,,,,,,
,hospital,,25.2702978,,,,,,,,,2,,,,,,,,Jono Kairiūkščio g.,,,,,,54.7580027,,"Vilniaus universiteto ligoninės Santariškių klinikos, Fizinės medicinos ir reabilitacijos centras",yes,,Vilnius,,,,,,,,,,
,hospital,,25.2846069,,#9f390c,,,,,,,11A,,,,,,,,Tilto g.,,,,,,54.6881760,,Vilniaus universiteto ligoninės Santariškių klinikų Centro filialas,yes,,Vilnius,,,,,,,,,,
,hospital,,26.4329673,,,,,,,,Поликлиника,15,Visagino poliklinika,,,,,,,Taikos pr.,,,,,,55.6057044,,Visagino poliklinika,yes,,Visaginas,,,,,,,,,LT,
,hospital,,23.9238254,,,,,,,,,22,,,,,,,,Lietuvių g.,,,http://www.pakaunespspc.lt/,,,54.9022854,,VŠĮ Pakaunės PSPC,yes,,Kaunas,,,,,,,,,,
,hospital,,24.7208661,,,,,,,,,,,,,,,,,,,,http://www.valkininkusanatorija.lt/,,,54.3490793,,VŠĮ Valkininkų sanatorija,yes,,,,,,,,,,,,
,hospital,,24.9914702,,,,,,,,,30,,,,,,,,Krantinės g.,,,,yes,,55.8369856,,VšĮ Kupiškio Pirminės Sveikatos Priežiūros Centras,yes,,Kupiškis,,,,,,,,,,
,hospital,,23.5416868,,,,,,,,,,,,Mo-Th 08:00-17:00; Fr 08:00-15:45; Sa-Su off,,,knowledge; Bing,,,,,http://www.radviliskiopoliklinika.lt,,,55.8104224,,VšĮ Radviliškio rajono pirminės sveikatos priežiūros centras,yes,,,,,,,,,,,,
,hospital,,24.5675350,,,,,,,,,,,,,,,,,,,,,,,54.2184304,,VšĮ Varėnos ligoninė,,,,,,,,,,,,,
,hospital,,25.2436501,,,,,,,,,3,,,,,,,,Vilkpėdės g.,,,,,,54.6656379,,VšĮ Vilkpėdės ligoninė,yes,,Vilnius,,,,,,,,,,
,hospital,,24.9625724,,,,,,,,,85,,,,,,NŽT ORT10LT,,Vilniaus g.,,,,,,55.0385761,,VšĮ Širvintų ligoninė,yes,,Širvintos,,,,,,,,,LT,
,hospital,,24.9876543,,,,,,,,,28,,,,,,,,Krantinės g.,,,,yes,,55.8373946,,VšĮ „Kupiškio ligoninė“,yes,,Kupiškis,,,,,,,,,,
,hospital,,23.5411589,,,,,,,,,9,,,,,,knowledge; Bing,,Gedimino g.,radviliskioligonine@is.lt,,http://www.radviliskioligonine.lt,,,55.8109888,,Všį Radviliškio ligoninė,yes,,Radviliškis,,,,,,,,,LT,
,hospital,,26.2558229,,,,,,,,,1B,,,,,,,,Vilniaus g.,,,,,,55.7316816,,Zarasų ligoninė,hospital,,Zarasai,,,,,,,,,LT,
,hospital,,23.0330405,,,,,,,,,37,,,,,,,,Bažnyčios g.,,,,,,54.9558240,,Šakių Ligoninė,,,Šakiai,,,,,,hospital,,,,
,hospital,,25.3798854,,,,,,,,,38,,,,,,,,Nepriklausomybės g.,,,,,,54.3057510,,Šalčininkų r. savivaldybės ligoninė,yes,,Šalčininkai,,,,,,,,,,
,hospital,,23.2999269,,,,,,,,,,,,,,,,,,,,,,,55.9442230,,Šiaulių ligoninė,,,,,,,,,,,residential,,
,hospital,,23.3021473,,,,,,,,,99,,,,,,,,V. Kudirkos g.,,,,,,55.9429841,,Šiaulių ligoninė 1 korpusas,yes,,Šiauliai,,,,,,,,,LT,
,hospital,,23.3004605,,,,,,,,,,,,,,,,,,,,,,,55.9423916,,Šiaulių ligoninė 2 korpusas,yes,,,,,,,,,,,,
,hospital,,23.2994770,,,,,,,,,,,,,,,,,,,,,,,55.9440662,,Šiaulių ligoninė chirurgijos korpusas,yes,,,,,,,,,,,,
,hospital,,23.3088765,,,,,,,,,3,,,,,,,,Daubos g.,,,,,,55.9062457,,Šiaulių priklausomybės ligų centras,yes,,Šiauliai,,,,,,,,,LT,
,hospital,,23.2978325,,,,,,,,,12,,,,,,,,M. K. Čiurlionio g.,,,,,,55.9425653,,Šiaulių psichiatrijos ligoninė,yes,,Šiauliai,,,,,,,,,LT,
,hospital,,25.7284336,,,,,,,,,40,,,,,,,yes,Vilniaus g.,,,,,,54.6039363,,Šumsko palaikomojo gydymo ir slaugos ligoninė,,,Šumskas,,,,,,,,,,
,hospital,,25.3144698,,,,,Q20503756,,,,2,,,,,lt:Šv. Roko ligoninė,,,Klinikų g.,,,http://www.ligonine.eu/,,,54.7088381,,Šv. Roko ligoninė,yes,,Vilnius,,,,,,,,,,
,hospital,,21.6246244,,,,,,,,,27,,,,,,,,Aušros g.,,,,,,55.5209661,,Švėkšnos psichiatrinė ligoninė,yes,,Švėkšna,,,,,,,,,,
,hospital,,25.2788786,,,,,,,,,117,,,,,,,,Žalgirio g.,,,,,,54.7051839,,Žalgirio klinika,yes,,Vilnius,,,,,,,,,LT,
,hospital,,24.5901210,,,,,,,,,1,,,Mo-Fr 08:00-17:00,,,,,Vilniaus g.,zasliupspc@gmail.com,,,,+370 346 44316,54.8650729,,Žaslių PSPC,yes,,Žasliai,,,56411,,,,,,,
