health_facility:type,office,healthcare:speciality,indoor,social_facility,payment:cash,postal_code,ref:FR:FINESS,is_in,addr:housenumber,emergency,source,opening_hours:signed,fax,source:amenity,government,ref:FR:SIREN,ref:FR:SIRET,source:FINESS,addr:street,bmo:type,source:name,contact:fax,name,level,type:FR:FINESS,addr:postcode,payment:credit_cards,source:geometry:date,internet_access,amenity_1,amenity_2,source:architect,network,operational_status,payment:cheque,ref,email,barrier,contact:email,roof:shape,description1,healthcare:speciality_1,healthcare:speciality_2,source:geometry,addr:city,wall,lon,contact:website,roof:colour,layer,height,alt_name,source_1,operator,area,opening_hours,contact:phone,addr:housename,source:boundary,start_date,website,contact:housenumber,source:date,phone,old_name,name:oc,room,architect,landuse,wheelchair,source:ref:FR:FINESS,amenity,operator:type,official_name,short_name,building:levels,note,operator:wikipedia,contact:street,FIXME,description,building:material,lat,building,roof:levels,addr:place,healthcare,addr:country,operator:wikidata
dispensary,,,,,,,,,,,,,,,,,,,,,,,Centre d'hygiène dentaire,,,,,2013,,,,,,operational,,,,,,,,,,Aerial photogrammetry,,,-149.5591153,,,,,,,,,,,,,,,,2017-01-31,,,,,,,,,clinic,private,,,,,,,,,hard,-17.5378388,yes,,,,,
dispensary,,,,,,,,,,,,,,,,,,,,,,,Centre d'hygiène dentaire,,,,,2013,,,,,,operational,,,,,,,,,,Aerial photogrammetry,,,-149.5590821,,,,,,,,,,,,,,,,2017-01-31,,,,,,,,,clinic,private,,,,,,,,,hard,-17.5378901,yes,,,,,
dispensary,,,,,,,,,,,,,,,,,,,,,,,Centre d'hygiène dentaire,,,,,2013,,,,,,operational,,,,,,,,,,Aerial photogrammetry,,,-149.5595604,,,,,,,,,,,,,,,,2017-01-31,,,,,,,,,clinic,private,,,,,,,,,hard,-17.5373646,yes,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Centre de Chirurgie Orthopédique et Sportive,,,,,,,,,,,,,,,,,,,,,,,,-0.6805070,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,C.C.O.S.,,,,,,,,44.8172135,yes,,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,Centre de Dialyse,,,,,,,,,,,,,,,,,,,,,,,,-0.0494010,,,,,,,Polyclinique de l'Ormeau,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.1100729,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2018,,,,,,,,,,,,Centre de Réadaptation Fonctionnelle Gustav Zander,,,,,,,,,,,,,,,,,,,,,,,,5.8911927,,,,,,,,,,,,,,https://centrezander.fr/,,,+33 4 79 61 41 33,,,,,,,,clinic,,,,,,,,,,,45.7006351,yes,,,,,
,,,,,,,380017095,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2015,,,,,,,,,,,,Centre de Rééducation Saint-Vincent de Paul,,,,,,,,,,,,,,,,,,,,,,,,5.2471303,,,,,,,,,,,,,,http://www.crf-bourgoin.com/,,,,,,,,,,,clinic,,,,,,,,,,,45.5967111,hospital,,,clinic,,
,,,,,,,1,,,,,,,,,,,,,,,,Centre de Santé,,,,,,,,,,,,,,,,,,,,,,,,-56.1738011,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,46.7784819,yes,,,clinic,,
,,,,,,,920010485,,103,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,+33 1 46 26 24 69,,,,,,Rue Henri Barbusse,,,,Centre de Santé Polyvalent,,124,,,,,,,,,,,1630,csmd.meudon@croix-rouge.fr,,,,,,,,,,2.2415430,,,,,,,Croix-Rouge française,,,,,,,http://www.centre-de-sante.croix-rouge.fr/index.php/liste-des-centres/meudon,,,+33 1 46 29 04 20,,,,,,,,clinic,,,,,,,,,,,48.8072400,yes,,,yes,,Q3003244
,,,room,,,,,,68,,,,,,,,,,Jardins Boieldieu,,,,Centre de Soins,0,,92800,,,,,,,,,,,,,,,,,,,Puteaux,,2.2385881,,,,,,,,,,,,,,,,,+33 1 47 75 91 04,,,shop,,,,,clinic,,,,,,,,,,,48.8890266,,,La Défense 8,,FR,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,Centre de Soins Non Programmés,,,,,,,,,,,,,,,,,,,,,,,,-1.4638860,,,,,,,,,Mo-Fr 08:00-18:30,,,,,,,,,,,,,,,,clinic,,,,,,,,,Ex-Urgences,,49.5022690,hospital,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Centre de Soins de Suite,,,,,,,,,,,,,,,,,,,,,,,,4.7831621,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,46.7969275,yes,,,,,
