health_facility:type,shop,office,healthcare:speciality,building:part,photo,description:de,addr:housenumber_1,health_specialty:occupational_therapy,note:de,health_specialty:ophthalmology,unimainz:buildingId,guest_house,contact:yelp,headframe:speciality,building:type,addr:housenumber,toilets,user_defined_other,man_made,seamark:type,opening_hours:note,TODO,created_by,healthcare:speciality:TCM,addr:state,name:de,source,payment:girocard,opening_hours:url,image,bdouble,fax,survey:date,emergency,building:roof,contact:facebook,historic,check_date:opening_hours,building:roof:material,tourism,wikimedia_commons,addr:street,source:name,fixme,name:en,contact:fax,name,wheelchair:description,level,addr:postcode,roof:material,ref:bldam,lastcheck,roof:orientation,name:1,source:outline,health_specialty:psychosomatic_medicine,elevator,health_specialty:psychiatry,amenity_1,designation,roof:height,operator,name:it,parking,loc_name,phone_1,est_height,lon,seamark:building:function,wikipedia,asb,access,health_specialty:gastroenterology,check_date,language:en,is_in,ref,email,building:height,contact:email,addr:source,roof:shape,doctors,building:use,healthcare:speciality:alternative,healthcare:speciality_1,min_level,name:hsb,health_specialty:general,addr:inclusion,country,atm,source:geometry,addr:city,source:building,language:de,disused:building,name:3,health_person:type,toilets:wheelchair,internet_access,health_specialty:diagnostic_radiology,telecom,ref:witten,contact:website,roof:colour,layer,height,alt_name,building:roof:shape,healthcare:counselling,ele,short_name,area,opening_hours,contact:phone,addr:housename,heritage:website,indoor,contact:mobile,health_specialty:chiropractic,heritage,emergency_service,roof:ridge:direction,start_date,website,addr:hamlet,phone,official_name,changing_table,old_name,smoking,heritage:ref,opening_hours:signed,max_level,room,type,health_specialty:sports_medicine,healthcare:speciality:de,health_speciality:physiotherapy,wheelchair:description:de,buildingpart,architect,healthcare:for,dispensing,wikipedia:de,contact:phone_1,source:addr,wheelchair,amenity,speciality,operator:type,addr:place,name:2,building:flats,addr:suburb,generator:source,building:min_level,short_name:de,wikidata,addr:street_1,specialization,addr:district,doctor,building:levels,language:ar,health_facility,note,kvl_hro:type,specialisation,branch,doctors:de,FIXME,disused:amenity,description,healthcare:speciality:acupuncture,building:material,year_of_construction,health_specialty:family_medicine,kvl_hro:amenity,health_specialty:orthopaedics,building:architecture,lat,capacity,fax:2,medical_system:western,building,building:colour,url,roof:levels,floor,health_specialty:gynaecology,building:levels:underground,healthcare,onkz,addr:country,heritage:operator
,,,general;homeopathy,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,Mondscheinstraße,,,,,Allgemeinarzt Dr. med. Thomas Schenkl,,,93437,,,,,,,,,,,,,,,,,,,12.8453535,,,,,,,,,,,,,,,,,,,,,,,,,,Furth im Wald,,,,,,no,,,,,,,,,,,,,,,"Mo-Fr 08:45-11:30, Mo,Th 16:00-17:30",+49 9973 3337,,,,,,,,,,http://www.mona-project.de/,,,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,,,,,,,,,,,,,"Die Zeiten sind so richtig (Stand April 2016), auch wenn auf manchen Websiten etwas anderes steht.",,,,,,,,,,,,,,,49.3087566,,,,house,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,Alfred-Thiele-Straße,,,,,Allgemeinarzt Gisela David,,,01159,,,,,,,,,,,,,,,,,,,13.6865832,,,,,,,,,,,,,,,,,,,,,,,,,,Dresden,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 07:30-11:00; Mo,Th 15:00-18:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0338426,,,,yes,,,,,,,,,DE,
,,,general,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,Zanklgartenstraße,,,,,Allgemeinarzt Mahner/Omparkash/Dick-Kollmansberger,,,95666,,,,,,,,,,,,,,,,,,,12.2420210,,,,,,,,,,,,,,,,,,,,,,,,,,Mitterteich,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 963392060,,,,,,,,,,,,,,,,,,,,,limited,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9519897,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,Gutenbergstraße,,,,,Allgemeinarzt Petersenn,,,,,,,,,,,,,,,,,,,,,,10.8164043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6842603,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allgemeinarzt und Zahnarzt,,,,,,,,,,,,,,,,,,,,,,12.2842351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8006511,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,Dillinger Straße,,,,,"Allgemeinarzt, Gemeinschaftspraxis",,,,,,,,,,,,,,,,,,,,,,10.7136776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4261087,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,Obere Torstraße,,,,,Allgemeinarzt- Praxis Dr. Friedrich,,,97723,,,,,,,,,,,,,,,,,,,9.9614376,,,,,,,,,,,,,,,,,,,,,,,,,,Oberthulba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1996358,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,Steinberg,,,,,Allgemeinarztpraxis,,,21502,,,,,,,,,,,,,,,,,,,10.4374275,,,,,,,,,,,,,,,,,,,,,,,,,,Geesthacht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4100821,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,Rennbahnweg,,,,,Allgemeinarztpraxis Dr. med. Annette Kopf,,,03044,,,,,,,,,,,,,,,,,,,14.3150879,,,,,,,,,,,,,,,,,,,,,,,,,,Cottbus,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7765441,,,,yes,,,,,,,,,,
,,,general,,,,,,,,,,,,,14a,,,,,,,,,,,,,,,,,,,,,,,,,,Marktplatz,,,,,Allgemeinarztpraxis Robert Altmann,,0,93453,,,,,,,,,,,,,,,,,,,12.9713160,,,,,,,,,,,,,,,,,,,,,,,,,,Neukirchen beim Heiligen Blut,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 08:00-12:00; Mo,Tu,Th,Fr 16:30-18:00",,,,,,,,,,,,,+4999472588,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2585626,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,Poststraße,,,,,Allgemeinarztpraxis Steikert,,,06567,,,,,,,,,,,,,,,,,,,11.1033826,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Frankenhausen/Kyffhäuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3573280,,,,yes,,,,,,,,,,
,,,general,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,Pfarrkirchener Straße,,,,,Allgemeinarztpraxis Zierl-Strobl,,,94424,,,,,,,,,,,,,,,,,,,12.8199792,,,,,,,,,,,,,,,,,,,,,,,,,,Arnstorf,,,,,,,,,,,,,,,,,,,,,,,Arztpraxis Zierl-Strobl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,48.5612339,,,,yes,,,,,,,doctor,,DE,
,,,general,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,Feldstraße,,,,,Allgemeinarztpraxis in der Feldstraße,,,21354,,,,,,,,,,,,,,,,,,,10.7328304,,,,,,,,,,,,,,,,,,,,,,,,,,Bleckede,,,,,,yes,,,,,,,,,,,,,,,"Mo-Tu 08:00-12:00,15:00-17:00; We 09:00-11:00; Th 08:00-12:00,16:00-19:00; Fr 08:00-12:00",,,,,,,,,,,http://www.allgemeinpraxis-in-der-feldstrasse.de/,,+49 5852 2535,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2878985,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allgemeinarztpraxis von Dr. Jutta Siefert,,,,,,,,,,,,,,,,,,,,,,7.4821222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mo 08:00-12:00,15:00-17:00, Tu 08:00-12:00,17:00-19:00, We 08:00-12:00, Th 08:00-12:00,15:00-17:00, Fr 08:00-12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0842403,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,3b,,,,,,,,,,,,,,,,,,,,,,,,,,Rotsteg,,,,,Allgemeiner Arzt,,,04668,,,,,,,,,,,,,,,,,,,12.7548232,,,,,,,,,,,,,,,,,,,,,,,,,,Grimma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,Großbothen,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1870904,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,yes,,,,,,,,Süderende,,,,,Allgemeiner und Notarzt,,,18565,,,,,,,,,,,,,,,,,,,13.1037025,,,,,,,,,,,,,,,,,,,,,,,,,,Hiddensee,,,,,,,,,,,,,,,,,,,,,"Mo-Tu 08:00-12:00,14:00-15:00; We 08:00-12:00; Th 08:00-12:00,16:00-17:00; Fr 08:00-12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,Vitte,,,,,,,,,1,,,Opening hours as of August 2018,,,,,,,,,,,,,,,54.5652133,,,,retail,,,2,,,,doctor,,DE,
,,,,,,,,,,,,,,,,74b,,,,,,,,,,,,,,,,,,,,,,,,,,Rudolf-Breitscheid-Straße,,,,,Allgemeinmedizin,,,,,,,,,,,,,,,,Herr Dr. Bischof,,,,,,13.5108135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0412915,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,Rudolf-Breitscheid-Straße,,,,,Allgemeinmedizin,,,,,,,,,,,,,,,,Frau Dr. Stubbe,,,,,,13.5061285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0428283,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,2a,,,,,,,,,,,,,,,,,,,,,,,,,,Am Mühlengarten,,,,,Allgemeinmedizin - Dr. med. Klaus Schneider & Dr. med. Kathrin Schneider,,,66564,,,,,,,,,,,,,Dr. med. Klaus Schneider & Dr. med. Kathrin Schneider,,,,,,7.2350371,,,,,,,,,,,,,,,,,,,,,,,,,,Ottweiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4189359,,,,yes,,,,,,,doctor,,,
,,,general;cardiology,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,+49 4331 935860,,,,,,,,,,Dorfstraße,,,,,Allgemeinmedizin /Frau M. D. (syr) Samia Esber,,,24783,,,,,,,,,,,,,Frau M. D. (syr) Samia Esber,,,,,,9.6913883,,,,,,,,,,,,,,,,,,,,,,,,,,Osterrönfeld,,,,,,,,,,,,,,,,,,,,,"We,Fr 08:30-12:00; Mo,Tu,Th 08:30-12:00,15:30-18:30; Sa-Su,PH off",,,,,,,,,,,,,+49 4331 91106,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,ohne Terminvereinbarung,,,,,,,,,,,,,,,54.2887954,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allgemeinmedizin Dr. Baumann, Dr. Schmitt",,,,,,,,,,,,,,,,,,,,,,8.4776473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7153907,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,Merschwitzer Straße,,,,,Allgemeinmedizin Dr. med. Tilo Nimetschek,,,01612,,,,,,,,,,,,,,,,,,,13.4113486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2502292,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,Weidende,,,,,Allgemeinmedizin Jürgen Maßmann,,,22395,,,,,,,,,,,,,,,,,,,10.1015649,,,,,,,,,,,,,,,,,,,,,,,,,,Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6545007,,,,yes,,,,,,,doctor,,DE,
