health_facility:type,amenity,int_name,healthcare:speciality,addr:housename,contact:website,roof:colour,social_facility,addr:suburb,seamark:building:function,height,lat,wikidata,alt_name,lon,social_facility:for,operator,name:ru,ele,name:mk,is_in,addr:housenumber,short_name,barrier,area,building:levels,opening_hours,contact:phone,wikipedia,wikipedia:el,name:de,note,source,name:fr,addr:street,ref,email,website,fax,name:nl,description,emergency,contact:email,bus,addr:full,fence_type,phone,name:el:en,old_name,date,operator:type,name,building,name:el,fixme,name:en,contact:fax,addr:city,level,url,addr:postcode,wheelchair,addr:place,start_date,healthcare,military,toilets:wheelchair,landuse,addr:country,seamark:type,history
,hospital,,,,,,,,,,37.9449295,,,23.6696709,,,,,,,1;9,,,,,,,,,,,,,Ελευθερίου Βενιζέλου;Εθνάρχου Μακρίου,,,https://www.metropolitan-hospital.gr,,,,,,,,,+30 210 48 09 000,,,,,Metropolitan Hospital,yes,,,,,Νέο Φάληρο,,,18547,yes,,,hospital,,yes,,,,
,hospital,,,,,,,,,,37.9452405,,,23.6703482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metropolitan Hospital,yes,,,,,,,,,yes,,,hospital,,yes,,,,
,hospital,,,,,,,,,,37.9449295,,,23.6696709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metropolitan Hospital,yes,,,,,,,,,yes,,,hospital,,yes,,,,
,hospital,,,,,,,,,,40.5945712,,,23.0137204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Άγιος Λουκάς,,,,,,,,,,,,,hospital,,,,,,
,hospital,,,,,,,,,,37.9908496,,,23.7411909,,,,,,,16,,,,6,,,,,,,,,Παράσχου,,,,,,,,,,,,+302106495100,,,,,Άγιος Σάββας - Κέντρο Ημερήσιας Νοσηλείας «Νίκος Κούρκουλος»,hospital,,,,,Αθήνα,,,11473,,,,hospital,,,,,,
,hospital,,,,,,,,,,39.3368955,,,23.0468420,,,,250,,,,,,,,,,,,,By appointment only // Μόνο με ραντεβού,,,,,,https://www.relax-now.gr/,,,,no,,,,,+30 6982696444,,,,,ΑΝΑΔΡΑΣΗ - Κέντρο Ψυχοσωματικής Υγείας,hospital,,,ANADRASI - Center for Psychosomatic Health,,Λεχώνια,,,37300,yes,,,,,,,GR,,
,hospital,,,,,,,,,,38.2329877,,,21.7476803,,,,,,,,,fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,Αγίος Ανδρέας,,,,,,,,,,,,,,,,,,,
,hospital,,,,http://www.eginitio.gr/,,,,,,37.9795041,,,23.7538000,,Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,,,,,72-74,,,,,,,,,,,,,Λεωφόρος Βασιλίσσης Σοφίας,,,,,,,,,,,,,,,,,Αιγινήτειο Νοσοκομείο,,Αιγινήτειο Νοσοκομείο,,Eginitio Hospital,,Αθήνα,,,11528,yes,,,hospital,,yes,,GR,,
,hospital,,,,,,,,,,38.0557537,,,23.8423366,,,,,,,2,,,,,,,,,,,,,Πηγής,,,http://www.flemig-hospital.gr,,,,yes,,,,,,,,,,Αμαλία Φλέμινγκ Πτέρυγα Μπόμπολα,,,,,,Μελίσσια,,,15127,,,,,,,,,,
,hospital,,,,,,,,,,37.9887430,,,23.7549955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Αντικαρκινικό - Ογκολογικό Νοσοκομείο Αθηνών ""Αγιος Σάββας""",,"Αντικαρκινικό - Ογκολογικό Νοσοκομείο Αθηνών ""Αγιος Σάββας""",,,,,,,,yes,,,,,yes,,,,
,hospital,,,,http://www.aretaieio.uoa.gr/,,,,,,37.9795041,,,23.7538000,,Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,,,,,76,,,,,,+30 210 7286000,,,,,,,Λεωφόρος Βασιλίσσης Σοφίας,,,,,,,,,,,,,,,,,Αρεταίειο Νοσοκομείο,,Αρεταίειο Νοσοκομείο,,Areteio Hospital,,Αθήνα,,,11528,yes,,,hospital,,yes,,GR,,
,hospital,,,,,,,,,,39.5714294,,,22.4474904,,Euromedica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+30 2410922110,,,,private,Αρωγή (Θεσσαλικό Κέντρο Αποκατάστασης),,,,,,Νίκαια,,,41500,,,,hospital,,,,,,
,hospital,,,,,,,,,,37.8490667,,,23.7532330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ασκληπιείο Βούλας,,,,Asklepieio Voulas,,,,,,,,,hospital,,,,,,
,hospital,,,,,,,,,,35.3043724,,,25.1545358,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,Βενιζέλειο Νοσοκομείο,,Βενιζέλειο Νοσοκομείο,,Venizelio-Pananio Heraklion General Hospital,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,38.0644257,,,23.8082561,,,,,,,2,,,,,,2132086000,,,,,,,Νίκης,,,,,,,,,yes,,,,,,,,Βιοιατρική--EUROMEDICA,,,,,,Μαρούσι,,,14561,yes,,,,,,,,,
,hospital,,,,,,,,,,39.0910403,,,26.5474126,,,,,,,48,,,,,,,,,,,,,Ευστρατίου Βοστάνη,,,https://www.vostanio.gr/,,,,,,,,,+3022510 57700,,,,,Βοστάνειο Νοσοκομείο,,,,,,Μυτιλήνη,,,81132,,,,hospital,,,,,,
,hospital,,,,,,,,,,38.3332635,,,23.3544305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΘΗΒΑΣ,,,,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,39.3519591,,,22.9618450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Γεν. Νοσοκομείο Βόλου ""Αχιλλοπούλειο""",,,,"Volos General Hospital 'Achillopouleio""",,,,,,,,,,,,,,,
,hospital,,,,,,,,,,37.9646715,,,23.7558027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Γενική Κλινική ΑΘΗΝΑΙΟΝ Euromedica,,,,,,,,,,,,,hospital,,,,,,
,hospital,,,,,,,,,,39.3503920,,,21.9056211,,,,,,,,,,,,,,,,,,,,Καρδίτσα - Μητρόπολη,,,http://www.noskard.gr/,,,,yes,,,,,+302441351555,,,,,Γενικό Νομαρχειακό Νοσοκομείο Καρδίτσας,,,,General Hospital of Karditsa,,Καρδίτσα,,,΄43100,,,,hospital,,,,,,
,hospital,Kalamata General Prefectural Hospital,,,,,,,,,37.0686487,,,22.0601337,,,больница префектуры Каламата,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,20110721,,Γενικό Νομαρχιακό Νοσοκομείο Καλαμάτας,,Γενικό Νομαρχιακό Νοσοκομείο Καλαμάτας,,Kalamata General Prefectural Hospital,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,40.2955887,,,22.4440455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Γενικό Νομαρχιακό Νοσοκομείο Κατερίνης,,,,,,,,,,,,,,,,,,,
,hospital,General Hospital of Amfissa,,,www.gnamfissas.gr,,,,,,38.5215537,,,22.3753670,,,,,,,,,,,,,+30 2265022222,,,,,,,,,,,,,,yes,gnnamfis@otenet.gr,,,,,,,,,Γενικό Νοσοκομέιο Άμφισσας,,,,,+30 2265022086,,,,33100,,,,,,,,,,
,hospital,General Hospital of Karystos,general;surgery,,,,,,,,38.0188716,,,24.4241087,,Ε.Σ.Υ.,,,,,56,,,,,,,,,,,,,Πολυχρονίου Κότσικα,,,,+302222022332,,,yes,,,,,+302224350100,,,,,Γενικό Νοσοκομείο - Κέντρο Υγείας Καρύστου,yes,,,,,Κάρυστος,,,34001,,,,,,,,,,
,hospital,,cardiology;surgery;orthopaedics;general,,,,,,,,38.6380837,,,24.1091268,,Ε.Σ.Υ.,,,,,,,,,,,,,,,,,,Κύμη - Μονή Σωτήρος,,,,,,,yes,,,,,+302222029300,,,,,"Γενικό Νοσοκομείο - Κέντρο Υγείας Κύμης ""Γεώργιος Παπανικολάου""",yes,,,,,Κύμη,,,34003,,,,,,,,,,
,hospital,,,,,,,,,,40.6359993,,,22.9583372,,,,,,,,,,,,,,,,Allgemeines Krankenhaus Agios Dimitrios,,,,,,,,,,,,,,,,,Geniko Nosokomio Agios Dimitrios,,,,Γενικό Νοσοκομείο Άγιος Δημήτριος,,,,Agios Dimitrios General Hospital,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,37.6441133,,,22.7277115,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,Γενικό Νοσοκομείο Άργους,,,,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,39.1480665,,,20.9953570,,,,,,,,,,,,,,el:Γενικό Νοσοκομείο Άρτας,,,,,,,,,http://www.gnartas.gr/,,,,yes,,,,,,,,,,Γενικό Νοσοκομείο Άρτας,,Γενικό Νοσοκομείο Άρτας,,General Hospital of Arta,,,,,,yes,,,,,,,,,
,hospital,Edessa General Hospital,,,,,,,,,40.7914404,,,22.0416811,,,,,,Greece,,,,,,,,,,,,Bing Aerial Imagery Zoom Level 18,,,,,,,,,yes,,,,,,,,20120721,,Γενικό Νοσοκομείο Έδεσσας,,Γενικό Νοσοκομείο Έδεσσας,,,,,,,,,,,,,,,,,
,hospital,Geniko Nosokomeio Agiu Nikolau,,,,,,,,,35.1941495,,,25.7130414,,,,,,,,,,,,,,,,Allgemeines Krankenhaus Agios Nikolaos,,,,,,info@agnhosp.gr,http://www.agnhosp.gr/,,,,yes,,,,,+30 28413 43000,,,,,Γενικό Νοσοκομείο Αγίου Νικολάου,,Γενικό Νοσοκομείο Αγίου Νικολάου,,Agios Nikolaos General Hospital,,,,,,,,1940-4-5,,,,,,,
,hospital,,,,http://www.hosp-alexandra.gr/,,,,,,37.9802626,,,23.7546282,,,,,,,80,"Γ.Ν.Α. ""Αλεξάνδρα""",,,,,+30 213 2162000,,,,,,,Λεωφόρος Βασιλίσσης Σοφίας,,,,,,,,hospital@hosp-alexandra.gr,,,,,,,,,"Γενικό Νοσοκομείο Αθηνών ""Αλεξάνδρα""",,"Γενικό Νοσοκομείο Αθηνών ""Αλεξάνδρα""",,Alexandra Hospital,+30 213 216-2898,Αθήνα,,,11528,yes,,,hospital,,yes,,GR,,
,hospital,,,,,,,,,,37.9973105,,,23.7823614,,,,,,,154,"Γ.Ν.Α. ""Γ.Γεννηματάς""",,,,,,,,,,,,Λεωφόρος Μεσογείων,,info@gna-gennimatas.gr,http://www.gna-gennimatas.gr/,+30 210 7705980,,,yes,,,,,+30 213 2032000,,,,,"Γενικό Νοσοκομείο Αθηνών ""Γιώργος Γεννηματάς""",,"Γενικό Νοσοκομείο Αθηνών ""Γιώργος Γεννηματάς""",borders,"General Hospital of Athens ""Giorgos Gennimatas""",,Αθήνα,,,11527,yes,,,,,yes,,GR,,
,hospital,,,"Γενικό Νοσοκομείο Αθηνών ""Ευαγγελισμός""",http://www.evaggelismos-hosp.gr/,,,,,,37.9780078,,,23.7464848,,,,,,,45,"Γ.Ν.Α. ""Ευαγγελισμός""",,,,,+30 213 2041000,el:Νοσοκομείο Ευαγγελισμός,,Evangelismos Krankenhaus,,,,Υψηλάντου,,,,,,,,,,,,,,,,,"Γενικό Νοσοκομείο Αθηνών ""Ευαγγελισμός""",,"Γενικό Νοσοκομείο Αθηνών ""Ευαγγελισμός""",,Evangelismos Hospital,,Αθήνα,,,10676,yes,,,hospital,,yes,,GR,,
,hospital,,,,,,,,,,37.9905865,,,23.7545973,,,,,,,7,,,,,,,,,,,,,Δημητσάνας,,,elpis.gr,,,,,,,,,21 3203 9000,,,,,"Γενικό Νοσοκομείο Αθηνών ""Η Ελπίς""",,"Γενικό Νοσοκομείο Αθηνών ""Η Ελπίς""",,,,Αθήνα,,,11522,yes,,,hospital,,yes,,,,
,hospital,,,,http://www.hippocratio.gr/,,,,,,37.9841896,,,23.7596043,,,,,,,114,Γ.Ν.Α. Ιπποκράτειο,,,,,+30 213 2088000,,,,,,,Λεωφόρος Βασιλίσσης Σοφίας,,,,,,,,,,,,,,,,,"Γενικό Νοσοκομείο Αθηνών ""Ιπποκράτειο""",,"Γενικό Νοσοκομείο Αθηνών ""Ιπποκράτειο""",,Hippocratio Hospital,,Αθήνα,,,11527,,,,hospital,,,,GR,,
,hospital,,,,http://www.laiko.gr/,,,,,,37.9850613,,,23.7653757,,Ε.Σ.Υ.,,,,,,"Γ.Ν.Α. ""Λαϊκό""",,,,,+30 213 2060800,,,,,,,,,,http://www.laiko.gr/,,,,yes,,,,,,,,,,"Γενικό Νοσοκομείο Αθηνών ""Λαϊκό""",,"Γενικό Νοσοκομείο Αθηνών ""Λαϊκό""",,,,,,,,,,,hospital,,,,,,
,hospital,,,,,,,,,,37.9869372,,,23.7638066,,,,,,,16,,,,6,,,,,,,,,Σεβαστουπόλεως,,,,,,,no,,,,,,,,,,"Γενικό Νοσοκομείο Αθηνών ""Λαϊκό"" - Παράρτημα Σεβαστουπόλεως",hospital,,,,,Αθήνα,,,,,,,hospital,,,,,,
,hospital,,,,,,,,,,38.2428120,,,22.0722068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Γενικό Νοσοκομείο Αιγίου,,,,,,,,,,,,,hospital,,,,,,
,hospital,,,,http://www.kat-hosp.gr,,,,,,38.0650492,,,23.8053906,,,,,,,2,Γ.Ν.Α. ΚΑΤ,,,,,+30 213 2086000,,,,,,,Νίκης,,,,,,,yes,infokat@kat-hosp.gr,,,,,,,,,"Γενικό Νοσοκομείο Αττικής ""ΚΑΤ""",,"Γενικό Νοσοκομείο Αττικής ""ΚΑΤ""",,"General Hospital of Attica ""KAT""",,Κηφησιά,,,14561,yes,,,,,yes,,GR,,
,hospital,,,,,,,,,,40.5026490,,,22.2163339,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,Γενικό Νοσοκομείο Βέροιας,,,,,,Βέροια,,,59132,,,,,,,,,,
,hospital,,,,,,,,,,41.1598640,,,24.1478270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Γενικό Νοσοκομείο Δράμας,,Γενικό Νοσοκομείο Δράμας,,,,,,,,,,,,,,,,,
,hospital,,,,www.zante-hospital.gr,,,,,,37.7849465,,,20.8746274,,,,,,,,,,,,,+30 2695360500,,,,,,,,,,,,,,yes,,,,,,,,,,"Γενικό Νοσοκομείο Ζακύνθου ""Άγιος Διονύσιος""",,,,,,,,,,,,,hospital,,,,,,
,hospital,,,,,,,,,,40.6142939,Q30269867,,22.9629008,,,,,,,,,,,,,,,Ιπποκράτειο (Θεσσαλονίκη),,,,,Κωνσταντίνου Καραμανλή,,,,,,,,,,,,,,,,,"Γενικό Νοσοκομείο Θεσσαλονίκης - ""Ιπποκράτειο""",,,,,,Θεσσαλονίκη,,,,,,,,,,,,,Retrieved from v3
,hospital,,,,,,,,,,40.5777689,,,22.9694066,,,,,,,161,,,,,,,,,,,,,Εθνικής Αντιστάσεως,,,,,,,,,,,,,,,,,Γενικό Νοσοκομείο Θεσσαλονίκης Άγιος Παύλος,,,,St. Paul General Hospital of Thessaloniki,,Θεσσαλονίκη,,,55134,,,,,,,,GR,,
,hospital,,,,,,,,,,35.0137053,,,25.7414981,,,,,,,,,,,,,,,,,,,,Καλημεράκη 6,,,,,,,,,,,,,,,,,Γενικό Νοσοκομείο Ιεράπετρας,,,,General Hospital Kentro Ygeias,,Ιεράπετρας,,,722 00,,,,hospital,,,,GR,,
,hospital,,,,,,,,,,37.6121053,,,26.2911957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+302275350201,,,,,Γενικό Νοσοκομείο Κ.Υ. Ικαρίας,,,,,,Άγιος Κήρυκος,,,83300,,,,hospital,,,,,,
,hospital,General Hospital of Kavala,,,,,,,,,40.9392552,,,24.3761223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Γενικό Νοσοκομείο Καβάλας,,Γενικό Νοσοκομείο Καβάλας,,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,35.5075146,,,27.2110715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+302245022228,,,,,"Γενικό Νοσοκομείο Καρπάθου ""Άγιος Ιωάννης ο Καρπάθιος""",hospital,,,Karpathos Hospital,,Κάρπαθος,,,85700,,,,hospital,,,,,,
,hospital,,,,,,,,,,38.9142308,,,21.7891954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Γενικό Νοσοκομείο Καρπενησίου,yes,,,,,,,,,,,,,,,,,,
,hospital,Kastoria General Hospital,,,,,,,,,40.5042421,,,21.2812578,,,,,,,33,,,,,,,,,Allgemeine Krankenhaus von Kastoria,,,,Μαυριωτίσσης,,,,,,,yes,,,,,,,,,,Γενικό Νοσοκομείο Καστοριάς,,Γενικό Νοσοκομείο Καστοριάς,,General Hospital of Kastoria,,Καστοριά,,,52100,,,,,,,,,,
,hospital,,,,,,,,,,40.9906137,,,22.8640296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Γενικό Νοσοκομείο Κιλκίς,,,,General Hospital of Kilkis,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,37.9401294,,,22.9482741,,,,,,,,,,,,,,,,,,,,,,,http://www.hospkorinthos.gr/,,,,yes,,,,,+30 27413 61400,,,,,Γενικό Νοσοκομείο Κορίνθου,,,,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,37.5901779,,,21.6141173,,,,,,,,,,,,,,,,,,,,,,,http://nosokomeiokrestenon.gr/,,,,,,,,,+30 2625 022222,,,,,Γενικό Νοσοκομείο Κρεστένων,,Γενικό Νοσοκομείο Κρεστένων,,General Hospital of Krestena,,Κρέστενα,,,27055,,,,yes,,,,,,
,hospital,,emergency;general;surgery;dentistry,,,,,,,,36.2773994,,,22.9647718,,Ε.Σ.Υ.,,,,,,,,yes,,Mo-Fr 08:00-14:30,,,,,,,,,,noskithi@otenet.gr,https://www.gnk.gov.gr/,+302736033400,,,yes,,,,,+302736033203,,,,public,"Γενικό Νοσοκομείο Κυθήρων""Τριφύλλειο""",yes,"Γενικό Νοσοκομείο Κυθήρων""Τριφύλλειο""",,General Hospital of Kythira,,Αρωνιάδικα,,,80200,,,,hospital,,,,,,
,hospital,,,,,,,,,,39.6428555,,,22.4209667,,Γενικό Νοσοκομείο Λάρισας,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Γενικό Νοσοκομείο Λάρισας,,,,,,,,,,,,,,,,,GR,,
,hospital,,,,,,,,,,39.6429285,,,22.4219185,,Γενικό Νοσοκομείο Λάρισας,,,,,,,fence,,,,,,,,,,,,,,,,,,,,,,,,,,,,Γενικό Νοσοκομείο Λάρισας,,,,,,,,,,,,,,,,,GR,,
,hospital,,,,,,,,,,39.6428555,,,22.4209667,,Γενικό Νοσοκομείο Λάρισας,,,,,1,,wall,,,,,,,,,,,Τσακάλωφ,,,,,,,,,,,,,,,,,Γενικό Νοσοκομείο Λάρισας,,,,,,Λάρισα,,,41221,,,,hospital,,,,GR,,
,hospital,,,,,,,,,,36.8005756,,,22.8554883,,Γενικό Νοσοκομείο Λακωνίας,,,,,,,,,,,,,,,,http://www.hosplak.gr/?q=node/9,,,,,http://www.hosplak.gr/,,,,yes,,,,,+302732022 374,,,,,Γενικό Νοσοκομείο Λακωνίας - Νοσηλευτική Μονάδα Μολάων,,,,General Hospital of Laconia - Hospital unit of Molaoi,,,,,23052,,,,hospital,,,,,,
,hospital,,,,,,,,,,38.9294430,,,22.4220901,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,Γενικό Νοσοκομείο Λαμίας,,Γενικό Νοσοκομείο Λαμίας,,Lamia General Hospital,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,38.4467353,,,22.8824193,,,,,,,,,,,,,,,,,,,,Αγίου Βλάσιου,,,,,,,,,,,,+302261084100,,,,,Γενικό Νοσοκομείο Λιβαδειάς,,,,Livadia Hospital,,Λιβαδειά,,,32131,,,,hospital,,,,,,
,hospital,,,,,,,,,,40.5426816,,,21.6580937,,,,,,,,,,,,,,,,Allgemeines Krankenhaus Bodosakios,,Maxar Premium Imagery (2019-10-05),Hôpital General Bodosakio,,,,http://www.mpodosakeio.gr/,,,,yes,,,,,+30 2463351100,,,,,Γενικό Νοσοκομείο Μποδοσάκειο,,Γενικό Νοσοκομείο Μποδοσάκειο,,General Hospital Bosodaskio,,Πτολεμαϊδα,,,50200,,Κιουρή,,hospital,,,,,,
,hospital,,,,,,,,,,40.6281731,,,22.0729414,,,,,,,,,,,,,,,,,,,,,,,http://www.gnnaousas.gr/,,,,,,,,,+302332059100,,,,,Γενικό Νοσοκομείο Νάουσας,,,,Naousa Hospital,,Νάουσα,,,59200,,,,hospital,,,,,,
,hospital,,,,www.nikaia-hosp.gr,,,,,,37.9735352,,,23.6635521,,,,,,,,,,,,,+30 2132077000,,,,,,,,,,,,,,yes,,,,,,,,,,"Γενικό Νοσοκομείο Νίκαιας ""Αγ. Παντελεήμων""",,,,,,,,,,,,,hospital,,,,,,
,hospital,,,,,,,,,,37.9952139,,,23.7791519,,,,,,,152,Γ.Ν.Ν.Θ. Η Σωτηρία,,,,,,,,,,,,Μεσογείων,,sotiria2@otenet.gr,http://www.sotiria.gr,+30 210 7788055,,,,,,,,+30 210 7763100,,,,,"Γενικό Νοσοκομείο Νοσημάτων Θώρακος ""Η Σωτηρία""",,"Γενικό Νοσοκομείο Νοσημάτων Θώρακος ""Η Σωτηρία""",,,,Αθήνα,,,11527,yes,,,hospital,,yes,,,,
,hospital,,,,,,,,,,40.6765120,,,22.9627241,,,,,,,,,,,,,,,,,,,,Περιφερειακή Οδός Θεσσαλονίκης,,,,,,,yes,,,,,,,,,,Γενικό Νοσοκομείο Παπαγεωργίου - Επείγοντα Περιστατικά,hospital,Γενικό Νοσοκομείο Παπαγεωργίου - Επείγοντα Περιστατικά,,Papageorgiou General Hospital - Emergency Department,,Ευκαρπία,,http://www.papageorgiou-hospital.gr,56403,,,,,,,,,,
,hospital,,,,,,,,,,40.6756190,,,22.9624287,,,,,,,,,,,,,,,,,,,,Περιφερειακή Οδός Θεσσαλονίκης,,,,,,,no,,,,,,,,,,Γενικό Νοσοκομείο Παπαγεωργίου - Τακτικά Εξωτερικά Ιατρεία,hospital,Γενικό Νοσοκομείο Παπαγεωργίου - Τακτικά Εξωτερικά Ιατρεία,,Papageorgiou General Hospital - Outpatient Department,,Ευκαρπία,,http://www.papageorgiou-hospital.gr,56403,,,,,,,,,,
,hospital,,,,,,,,,,38.9659027,,,20.7536813,,,,,,,,,fence,,,,,,,,,,,,,,http://www.prevezahospital.gr/,,,,yes,,,,chain_link,+30 26823 61200,,,,,Γενικό Νοσοκομείο Πρέβεζας,,Γενικό Νοσοκομείο Πρέβεζας,,Preveza's General Hospital,,,,,,,,,,,,,,,
,hospital,"General Hospital of Pyrgos ""Manolopoulio""",,,,,,,,,37.6824767,,,21.4230046,,,,,,,,,,,,,,,,"Allgemeines Krankenhaus Pyrgos ""Manolopoulio""",,Remap by Bing Zoom Level 19,"Hôpital General de Pyrgos ""Manolopoulio""",,,,,,,,,,,,,,,,20110710,,"Γενικό Νοσοκομείο Πύργου ""Μανωλοπούλειο""",,"Γενικό Νοσοκομείο Πύργου ""Μανωλοπούλειο""",,"General Hospital of Pyrgos ""Manolopoulio""",,,,,,,,,hospital,,,,,,
,hospital,,,,,,,,,,35.3654330,,,24.4705627,,,,,,,,,,,,,,,,,,,,Τρανταλλίδη,,,,,,,yes,,,,,,,,,,Γενικό Νοσοκομείο Ρεθύνου,,Γενικό Νοσοκομείο Ρεθύνου,,General Hospital Rethimno,,Ρέθυμνο,,,741 00,,,,,,,,,,
