health_facility:type,rating,maxspeed,healthcare:speciality,building:part,man_made,contact:postcode,social_facility,lon,abbreviation,payment:cash,currency:others,postal_code,rooms,smoking,health_specialty:ophthalmology,source:position,contact:yelp,network,is_in,addr:housenumber,toilets,alt_name_1,source:housenumber,electricity,mapillary,addr:state,name:de,source,source:metrics,source_date,capacity:disabled,covered,image,step_count,fax,lit,tower:type,health_specialty:general_surgery,short_name,building:roof,ref:lda,fixme,leisure,lunch,description:de,historic,foot,emergency:contact:phone,currency:EUR,tourism,wheelchair:description,wikimedia_commons,addr:street,architect:wikipedia,contact:facebook,name:en,contact:fax,addr:city,designation,level,ref,notes,donation:compensation,lastcheck,roof:orientation,nursery,health_specialty:obstetrics,staff_count:physician,addr:postcode,roof:material,source:outline,internet_access,payment:mastercard,int_name,building:roof:shape,max_age,capacity:beds,rd_do:kh,contact:google_plus,architect:wikidata,BLfD:criteria,ramp,parking,loc_name,health_specialty,sport,building:fireproof,source:addr,capacity,power,lda:criteria,old_name:-1950,hospital_type:de,section,operational_status,wikipedia,leaf_type,access,religion,contact:youtube,internet,alt_website,check_date,name:zh,email,highway,name:etymology:wikidata,note:de,source:maxspeed,isced:level,barrier,contact:email,denomination,roof:shape,handrail:center,source:start_date,building:use,contact:twitter,health_specialty:internal_medicine,min_age,health_specialty:pulmonology,health_specialty:psychosomatic,name:hsb,tracktype,building:obm,source:geometry,ref_heritage,source:phone,internet_access:fee,building:roof:colour,local_name,toilets:wheelchair,old_short_name,health_amenity:type,comment,tunnel,opening_hours:visitors,loc_ref,handrail,old_name:-2006,building:height,heritage:website,contact:website,roof:colour,layer,height,source:date,long_name,alt_name,institution:support,contact:country,operator,contact:city,use,fee,blood:whole,service,area,opening_hours,hospital,contact:phone,addr:housename,elevator,name,smoothness,blood:plasma,is_in:county,heritage,ref:BLfD,park_ride,start_date,website,addr:unit,name:ar,lanes,health_specialty:plastic_surgery,contact:housenumber,nohousenumber,brand,vehicle,telephone,ref:isil,phone,surface,old_name,wheelchair:access,heritage:ref,building:min_level,name:hr,abandoned:landuse,internet_access:operator,building:walls,abandoned,maxheight,member_of,castle_type,type,healthcare:speciality:de,health_specialty:optometry,female,aeroway,architect,ele,wikipedia:de,maxweight:signed,landuse,old_name:1940,wheelchair,bridge,amenity,public_building,opening_hours:emergency,operator:type,religion:wikidata,contact:xing,reg_name,addr:suburb,official_name,payment:giro_card,short_name:de,blood:platelets,wikidata,social_facility:for,contact:foursquare,ramp:stroller,emergency,addr:district,year_of_construction,building:levels,health_specialty:surgery,website2,note,kvl_hro:type,name:fr,contact:street,opening_hours:office,nat_ref,contact:phone:emergency,disused:amenity,name:nl,description,building:material,oneway,fence_type,payment:visa,stars,UntereDenkmalbehörde:inscription_date,name:ru,payment:maestro,lat,medical_system:western,building,building:colour,parking:lane:right,natural,staff_count:nurse,noaddress,url,roof:levels,health_specialty:gynaecology,dog,beds,building:levels:underground,cutting,addr:place,healthcare,addr:country,heritage:operator,operator:wikidata
,,,,,,,,9.8336998,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Landrat-Beushausen-Straße,,,,,Alfeld,,,,,,,,,,,31061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMEOS Klinikum Alfeld,,,,,,,,https://www.ameos.eu/standorte/ameos-west/alfeld/ameos-klinikum-alfeld/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,51.9941487,,hospital,,,,,,,,,,,,,,hospital,,,
,,,psychiatry,,,,,10.9635510,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friedrich-Ebert-Straße,,,,,Heiligenhafen,,,,,,,,,,,23774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMEOS Klinikum Heiligenhafen,,,,,,,,https://www.ameos.eu/standorte/ameos-nord/heiligenhafen/ameos-klinikum-heiligenhafen/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3729246,,,,,,,,,,,,,,,,hospital,DE,,
,,,,,,,,13.0146051,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jakob-Weindler-Straße,,,,,Simbach am Inn,,,,,,,,,,,84359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMEOS Klinikum Inntal,,,,,,,,www.inntalklinik.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2627610,,,,,,,,,,,,,,,,,,,
,,,,,,,,7.6309155,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brunngasse,,,,,Vogtsburg im Kaiserstuhl,,,,,,,,,,,79235,,"maps4bw (LGL, www.lgl-bw.de); Mapbox Satellite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMEOS Klinikum Kaiserstuhl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,48.1049675,,hospital,,,,,,,,,,,,,,,,,
,,,,,,,,8.5764820,,,,,,,,,,,,1,,,,,,,,,,,,,,,+49 471 4805 742,,,,,,,,,,,,,,,,,,Wiener Straße,,,,,Bremerhaven,,,,,,,,,,,27568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMEOS Klinikum Mitte Bremerhaven,,,,,,,,https://www.ameos.eu/standorte/ameos-west/bremerhaven/ameos-klinikum-mitte-bremerhaven/,,,,,,,,,,,+49 471 4805 0,,,,,,,,,,,,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5521666,,,,,,,,,,,,,,,,hospital,,,
,,,psychiatry,,,,,10.7927989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wiesenhof,,,,,Neustadt in Holstein,,,,,,,,,,,23730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@neustadt.ameos.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMEOS Klinikum Neustadt,,,,,,,,https://www.ameos.eu/standorte/ameos-nord/neustadt-in-holstein/,,,,,,,,,,,+49 4561 6110,,,,,,,,,,,,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1075131,,,,,,,,,,,,,,,,hospital,,,
,,,psychiatry,,,,,10.2761173,,,,,,,,,,,,5a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am Krankenhaus,,,,,Preetz,,,,,,,,,,,24211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMEOS Klinikum Preetz,,,,,,,,https://www.ameos.eu/standorte/ameos-nord/preetz/ameos-klinikum-preetz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2389886,,,,,,,,,,,,,,,,hospital,DE,,
,,,,,,,,11.7400112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMEOS kothKlinikum Schönebeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMEOS Klinikum Schönebeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0130586,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.6279875,,,,,,,,,,,,66,,,,,,,,,,,,,,,+49 4743 893 2537,,,,,,,,,,,,,,,,,,Langener Straße,,,,,Geestland,,,,,,,,,,,27607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@geestland.ameos.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMEOS Klinikum Seepark Geestland,,,,,,,,https://www.ameos.eu/standorte/ameos-west/geestland/ameos-klinikum-seepark-geestland/,,,,,,,,,,,+49 4743 893 0,,,,,,,,,,,,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6166664,,,,,,,,,,,,,,,,hospital,,,
,,,,,,,,11.0533717,,,,,,,,,,,,5,,,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,Gleimstraße,,,,,Halberstadt,,,,,,,,,,,38820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMEOS Klinikum St. Salvator Halberstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,,,,Q28738008,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,51.9009511,,hospital,,,,,,,,,,,,,,,,,
,,,,,,,,11.3784845,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiefholzstraße,,,,,Haldensleben,,,,,,,,,,,39340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMEOS Grupe,,,,,,,,,,,,AMEOS Klinikum ehem. Sana-Klinkum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2861988,,,,,,,,,,,,,,,,,,,
,,,,,,,,7.2003187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASB Rettungshundestaffel Hattingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,garages,,,,hospital,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,51.4134547,,,,,,,,,,,,,,,,,,,
,,,,,,,,13.0649632,,,,,,,,,,,,2,,,,,,,,,,,,,,,+49 9904 7299,,,,,,,,,,,,,,,,,,Hausstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schaufling@asklepios.com,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASKLEPIOS Klinik Schaufling,,,,,,,,https://www.asklepios.com/schaufling,,,,,,,,,,,+49 9904 770,,,,,,,,,,,,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,,,,Q1318729,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8623668,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.6917653,,,,,,,,,,,,9-15,,,,,,,,,,,,,,,+49 6221 983-919,,,,,,,,,,,,,,,,,,Bismarckstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LGL, www.lgl-bw.de",,,,,,yes,,,,,,,,,,,,,,,,,,,,ATOS Praxisklinik GmbH & Co. KG,,,,,,,,,,,,ATOS Klinik,,,,,,,,http://atos.de,,,,,,,,,,,+49 6221 983-0,,,,,,,,,,,,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4101697,,,,,,,,,,,,,,,,,,,
,,,,,,,,11.6165521,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Effnerstraße,,,,,München,,,,,,,,,,,81925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATOS-Klinik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,48.1545022,,yes,,,,,,,,,,,,,,hospital,DE,,
,,,,,,,,11.7672402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AWO Krankenhaus Calbe,,,,,,,,https://www.awo-sachsenanhalt.de/awo-krankenhaus-calbe.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9034601,,,,,,,,,,,,,,,,,,,
,,,psychiatry,,,,,10.8108312,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vor dem Kaiserdom,,,,,Königslutter am Elm,,,,,,,,,,,38154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AWO Psychiatriezentrum,,,,,,,,https://www.awo-psychiatriezentrum.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,Q21006486,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2468005,,,,,,,,,,,,,,,,hospital,DE,,
,,,,,,,,8.7005009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aatalklinik,,,,,,,,https://www.aatalklinik.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,51.5177884,,,,,,,,,,,,,,,,,,,
,,,,,,,,12.9073510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abtseeklinik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9145093,,yes,,,,,,,,,,,,,,,,,
,,,,,,,,13.6266279,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Köpenicker Straße,,,,,Königs Wusterhausen,,,,,,,,,,,15711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.klinikum-ds.de/,,,,,,,,,,,,,,,,,,+49 3375 2880,,,Achenbach Krankenhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3020087,,,,,,,,,,,,,,,,,DE,,
,,,,,,,,8.1551233,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Markgraf-Bernhard-Straße,,,,,Ottenhöfen im Schwarzwald,,,,,,,,,,,77883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achertalklinik für Psychiatrie und Psychotherapie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5659320,,yes,,,,,,,,,,,,,,,DE,,
,,,,,,,,7.4654817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@akh-hagen.de,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agaplesion Allgemeines Krankenhaus Hagen,,,,,,,,https://www.akh-hagen.de,,,,,,,,,,,+49 2331 201 0,,,,,,,,,,,,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,51.3547053,,hospital,,,,,,,,,,,,,,hospital,,,
