health_facility:type,roof:levels,amenity,building:colour,healthcare:speciality,medical_system:western,roof:colour,source:name,layer,height,loc_name,wikidata,alt_name,operator,barrier,name:ca,addr:housenumber,emergency,lon,building:levels,opening_hours,contact:phone,addr:housename,name,source,building:material,roof:material,mappinggroup,catastro:ref,email,b5m:url,website,fax,description,short_name,contact:email,addr:province,sorting_name,fence_type,source:date,phone,b5m:id,old_name,lat,smoking,addr:street,building,nohousenumber,min_level,name:en,contact:fax,addr:city,designation,roof:shape,addr:postcode,wheelchair,source:geometry,b5m:urlOrto,name:gl,building:levels:underground,roof:orientation,source:geometry:date,max_level,healthcare,name:eu,landuse,addr:country,name:es,operator:zbs
,,doctors,,,,,,,,,,,,,,,,-3.0124334,,,,,Bidezabal anbulategia,Eusko Jaurlaritza/Gobierno Vasco,,,,,,,,,,,,,,,,,,,43.3571058,,,yes,,,,,,,,,,,,,,,,,doctor,,,,Centro de Salud de Bidezabal,
,,doctors,grey,,,black,,,,,,,,,,,,-0.3040274,1,,,,Botiquín,,stone,slate,,,,,,,,,,,,,,,,,42.6191489,,,yes,,,,,,,hipped,,,,,,,along,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,2.0766427,,,,,C.A.P. Sant Quirze del Vallès,,,,,,,,,,,,,,,,,,,,41.5358312,,Avinguda d'Egara,yes,yes,,,,Sant Quirze del Vallés,,,08192,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-4.7812347,,,,,C.E.P. Avenida de América,,,,,,,,,,,,,,,,,,,,37.8911313,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,Q21530067,,,,,,,2.1287241,,,,,CAP,,,,,,,,,,,,,,,,,,,,41.5479254,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
therapy,,doctors,,,,,,,,,,,,,,,,-6.1249104,,,,,CPM-Centro Psicopedagógico Multidisciplinar,,,,,,,,https://www.centrocpm.es,,,,,,,,,,,,37.3782007,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,1,,,,,,,,,,2.7797424,,,,,Cap II,,,,,,,,,,,,,,,,,,,,41.6694937,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-9.1265894,,,,,Casa do Mar,,,,,,,,,,,,,,,,,,,,42.8002596,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-7.0407407,,,,,Casa do Mar,PNOA;Catastro,,,,,,,,,,,,,,,,,,,43.5347759,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-7.2538983,,,,,Casa do Mar,,,,,,,,,,,,,,"Mar, Casa do",,,,,,43.5673807,,,yes,,,,,,,,,,,,Casa do Mar,,,,,,,,,Casa del Mar,
,,doctors,,,,,,,,,,,,,,,,-3.4803801,,,,,Cemaj,,,,,,,,,,Centro Medico Privado,,,,,,,,,,40.5313217,,,medical,,,,,,Clinica Privada,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-6.0100386,,,,,"Cento de Salud ""El Cachorro""",,,,,,,,,,,,,,,,,,,,37.3896852,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,general,,,,,,,,CAP Camprodon,,,,,yes,2.3722852,2,Mo-Su 08:00-20:00,+34972741213,,Centre d'Atenció Primària Camprodon,,,,,,,,,,,,eap_camprodon.girona.ics@gencat.cat,,,,,,,,42.3138182,,carrer de Mossèn Cinto Verdaguer,,,,,,Camprodon,,,17867,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,no,-0.0969327,,,,,Centre d'Especialitats Torrehermosa,,,,,,,,,,,,,,,,,,,,39.9380979,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,2.0777712,,,,,Centre de Prevenció i Rehabilitació Asepeyo,,,,,,,,,,,,,,,,,,,,41.4904757,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,4.2713142,3,,,,Centre de Salut Verge del Toro,,,,,,,,,,,,,,,,,,,,39.8891184,,,public,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,2.6667017,,,,,Centre sanitari,,,,,,,,,,,,,,,,,,,,39.6616163,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,68,,-3.7803150,,,(+34) 91 180 29 00,,Centro IVI reproducción asistida,,,,,,,,https://www.ivi.es/,,,,ivimadrid@ivi.es,,,,,,,,40.4474814,,Avenida del Talgo,yes,,,,(+34) 91 180 29 10,Madrid,,,28023,,,,,,,,,,,,ES,,
,,doctors,,,,,,,,,,,,,,15,,-3.6656652,,,,,Centro Madrid Salud Puente de Vallecas,,,,,,,,http://madridsalud.es/cms-de-puente-vallecas/,,,,,,,,,+34 91 5886016;+34 91 5133025,,,40.3951980,,Calle Concordia,public,,,,,Madrid,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-2.7588015,,,,,Centro Médico,,,,,,,,,,,,,,,,,,,,42.5644365,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-16.4805241,,,,,Centro Médico de Arico,,,,,,,,,,,,,,,,,,,,28.1807943,,,hospital,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-0.8890070,,,,,Centro Médico de Especialidades Ramón y Cajal,,,,,,,,,,,,,,,,,,,,41.6507305,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,Cruz Roja,,,4,,-0.3714885,,,,,Centro Privado de Educación Especial Parálisis Cerebral Infantil,,,,,,cpcicole@cruzroja.es,,www.cruzroja.es,,,,,,,,,+34 963695954,,,39.4802895,,Calle Alboraya,,,,,,,,,46010,,,,,,,,,doctor,,,ES,,
,,doctors,,general,,,,,,,,,Salud,,,2,,-1.2817395,,,,,Centro Salud Epila,,,,,,,,,,,,,,,,,,,,41.5995940,,Calle Escuelas,yes,,,,,Épila,,,50290,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-8.6919822,,,,,Centro Salud Teis,,,,,,,,,,,,,,,,,,,,42.2523537,,Avenida de Galicia,,,,,,Vigo,,,36216,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,yes,-6.7206050,,,,,Centro Salud de Navia,,,,,,,,,,,,,,,,,,,,43.5417803,,,hospital,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,yes,-6.7485774,,,,,Centro Sanitario Valverde del Camino,,,,,,,,,,,,,,,,,,,,37.5735695,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-3.8519835,,,,,Centro base nº 4 Atención a personas con discapacidad,,,,,,,,,,,,,,,,,,,,40.3300776,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-3.8524023,,,,,Centro base nº 4 Atención a personas con discapacidad,,,,,,,,,,,,,,,,,,,,40.3299061,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,Madrid Salud,,,5,,-3.6245227,,,,,Centro de Atención Integral a Drogodependientes,,,,,,,,,,,,,,,,,,,,40.3673105,,Calle de Cincovillas,yes,,,,,Madrid,,,28051,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-6.9103982,,,,,Centro de Atención Sanitaria,,,,,,,,,,,,,,,,,,,,41.9743568,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-0.4311056,,,,,Centro de Atención a Minusválidos Psíquicos Santa Faz,,,,,,,,,,,,,,,,,,,,38.3554589,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-3.9152729,,,,,Centro de Consultas Médicas CCM,,,,,,,,,,,,,,,,,,,,43.4351771,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-3.6284526,,,,,Centro de Diagnóstico,,,,,,,,,,,,,,,,,,,,37.1971468,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-5.9347668,,,,,Centro de Diálisis Montequinto,,,,,,,,,,,,,,,,,,,,37.3465009,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-0.5028284,,,,,Centro de Día y Residencia para personas con Autismo,,,,,,,,,,,,,,,,,,,,38.3511862,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-1.3330412,,,,,Centro de Especialidades,,,,,,,,,,,,,,,,,,,,38.4736250,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-1.1697436,,,,,Centro de Medicina del Deporte,,,,,,,,,,,,,,,,,,,,38.0142658,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-6.6120246,2,,,,Centro de Salud,,,,,,,,,,,,,,,,,,,,43.2711427,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-2.9623001,,,,,Centro de Salud,,,,,,,,,,,,,,,,,+34941320024,,,42.5876998,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-15.4635672,,,,,Centro de Salud,,,,,,,,,,,,,,,,,+34 928117283,,,27.7983110,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,Sacyl,,,,,-4.2588987,,,,,Centro de Salud,,,,,,,,,,,,,,,,,,,,42.7907639,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-1.9426212,,,,,Centro de Salud,,,,,,,,,,,,,,,,,,,,39.6259666,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,general;emergency,,,,,,,,,,,,,,-5.8617906,,,,,Centro de Salud,,,,,,,,,,,,,,,,,,,,40.2742027,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-3.9612100,,,,,Centro de Salud,,,,,,,,,,,,,,,,,,,,41.4936003,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,Principado de Asturias,,,,,-5.5104995,1,,,,Centro de Salud,,,,,,,,,,,,,,,,,,,,43.1048258,,,yes,,,,,Felechosa,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,SACYL,,,,,-3.9861833,,,,,Centro de Salud,,,,,,,,,,,,,,,,,,,,42.2045327,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,yes,-16.3706294,3,,,,Centro de Salud,,,,,,,,,,,,,,,,,,,,28.3552921,,,hospital,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,SACYL,,,,,-3.3491794,,,,,Centro de Salud,,,,,,,,,,,,,,,,,,,,41.8395526,,,public,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-3.0418708,,,,,Centro de Salud,,,,,,,,,,,,,,,,,,,,41.9792484,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-1.3516591,,,,,"Centro de Salud ""La Paz""",Ayuntamiento de Campos del Río,,,,,,,,,,,,,,,,,,,38.0399159,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-5.9526218,,,,,Centro de Salud Amate,,,,,,,,,,,,,,,,,,,,37.3764761,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-16.3089630,,,,,Centro de Salud Barranco Grande,,,,,,,,,,,,,,,,,,,,28.4345934,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-0.8783582,,,,,Centro de Salud Callosa de Segura,,,,,,,,,,,,,,,,,+34 96 690 43 00,,,38.1186169,,,public,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-3.8209440,,,,,Centro de Salud Campohermoso,,,,,,,,,,,,,,,,,,,,40.2545039,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,44,,-0.9951047,,,,,Centro de Salud Cartagena Oeste,,,,,,,,http://www.murciasalud.es/caps.php?op=mostrar_centro&id_centro=99&idsec=46,,,,,,,,,,,Consultorio de Barrio de La Concepción - SMS,37.6063417,,Calle Rosa,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-3.6667064,2,,,,Centro de Salud Doctor Jose Luis Santamaría García,,,,,,,,,,,,,,,,,,,,42.3633911,,,yes,,,,,,,,,,,,,,,,,,,,,,
clinic,,doctors,,,yes,,,,,,,,,,,,,-5.9390366,,,,,Centro de Salud Doctor Pedro Vallina- Puerta Este,PNOA,,,,,,,,,,,,,,,2009,,,,37.4012310,,Calle Cueva de la Pileta,hospital,,,,,Sevilla,,,,yes,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-5.9676917,,,,,Centro de Salud El Greco,PNOA,,,,,,,,,,,,,,,,,,,37.3901811,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-17.8799110,,,+34922479493,,Centro de Salud El Paso,,,,,,,,,,,,,,,,,,,,28.6538970,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,yes,-6.9348089,,,,Centro de Salud El Torrejon,Centro de Salud El Torrejon,,,,,,,,,,,,,,,,,+34 959 650 716,,,37.2740354,,Avenida de las Flores,yes,,,,,Huelva,,,21005,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,2,,-2.8464152,1,,,,Centro de Salud Especialidades Haro,,,,,,,,https://www.riojasalud.es/ciudadanos/centros-y-servicios/centros-de-salud?start=11,,,,,,,,,+34941297729,,,42.5693059,,Calle Vicente Aleixandre,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-3.6673669,,,,,Centro de Salud Gamonal Antigua,,,,,,,,,,,,,,,,,,,,42.3530273,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,49,,-4.7836955,,,,,Centro de Salud Huerta de la Reina,,,,,,,,,,,,,,,,,,,,37.8939340,,Av. del Gran Capitán,yes,,,,,Córdoba,,,14006,,,,,,,,,doctor,,,,,
,,doctors,,general,,,,,,,,,,,,,,-0.9584383,,Mo-Fr 09:00-14:00,,,Centro de Salud La Erica,,,,,,,,,,,,,,,,,,,,41.5570499,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-2.4570754,,,,,Centro de Salud La Guindalera,,,,,,,,,,,,,,,,,,,,42.4502991,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-3.7180661,,,,,Centro de Salud Las Huelgas,,,,,,,,,,,,,,,,,,,,42.3389059,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,general,,,,,,,,,,,,,,-5.9681511,,,,,Centro de Salud Las Palmeritas,,,,,,,,,,,,,,,,,,,,37.3778238,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,2,,-3.6764918,,,,,Centro de Salud Las Torrres,catastro,,,,,,,,,,,,,,,2013-01,,,,42.3544134,,Calle Vicente Aleixandre,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-3.7116505,,,,,Centro de Salud Los Cubos,,,,,,,,,,,,,,,,,,,,42.3402837,,,yes,,,,,,,,,,,,,,,,,,,,,,
clinic,,doctors,,,yes,,,,,,,,,fence,,43,yes,-5.9261134,,,,,Centro de Salud María Fuensanta Pérez Quirós,PNOA,,,,,,,,,,,,,,,,,,,37.4002553,,Avenida de las Ciencias,,,,,,Sevilla,,,41020,,,,,,,,,centre,,health,,,
,,doctors,,psychiatry,,,,,,,,,,,,,,-5.7750694,2,,,,Centro de Salud Mental,,,,,,,,,,,,,,,,,,,,43.2476087,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-4.7960812,,,,,Centro de Salud Poniente,,,,,,,,,,,,,,,,,,,,37.8815498,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-6.9677694,,,,,Centro de Salud Punta Umbría,,,,,,,,,,,,,,,,,,,,37.1821579,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,yes,-5.1595842,,,,,Centro de Salud Ronda Norte,,,,,,,,,,,,,,,,,,,,36.7453750,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-16.2492531,,,,,Centro de Salud Ruiz de Padrón,,,,,,,,,,,,,,,,,+34 922533750,,,28.4685104,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,"Centro de Salud San Agustín, Urgencias de Atención Primaria 24 horas",SACYL,,,,,-3.7019809,,,,,Centro de Salud San Agustín,,,,,,,,,,,,,,,,,,,,42.3335677,,,yes,,,,,,,,,yes,,,,,,,,doctor,,,,,
clinic,,doctors,,,yes,,,,,,,,,fence,,,,-5.9617168,,,,,Centro de Salud San Pablo,PNOA,,,,,,,,,,,,,,,,,,,37.3945694,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,SACYL,,,,,-3.6929577,,,,,Centro de Salud Santa Clara,,,,,,,,,,,,,,,,,,,,42.3405709,,Plaza Santa Teresa,public,,,,,,,,,yes,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-1.6675763,,,,,Centro de Salud de Bullas,,,,,,,,,,,,,,,,,,,,38.0466397,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,13,,-6.6754550,2,,,,Centro de Salud de Fuenteguinaldo,,,,,,,,,,,,,Salamanca,,,,,,,40.4288113,,Plaza de la Constitución,yes,,,,,Fuenteguinaldo,,,37540,,,,,,,,,,,,ES,,
,,doctors,,general;emergency;community;dentistry;radiology,,,,,,,,,SACyL,,,1,,-4.7196501,2,,,,Centro de Salud de Laguna de Duero,,,,,,,,,,,,,,,,,+34 983 54 31 93,,,41.5853654,,Avenida de la Laguna,yes,,,,,Laguna de Duero,,,47140,yes,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,fence,,,,-2.6838555,,,,,Centro de Salud de Lakua-Arriaga/Lakua-Arriaga Osasun Zentroa,,,,,,,,,,,,,,,,,,,,42.8668165,,,,,,,,,,,,,,,,,,,,,Lakua-Arriaga Osasun Zentroa,,,Centro de Salud de Lakua-Arriaga,
,,doctors,,,,,,,,,,,,,,,,-5.8134344,,,,,Centro de Salud de Llugones,,,,,,,,,,,,,,,,,,,,43.4000929,,Calle Puerto Pajares,yes,,,,,Lugones / Llugones,,,33420,yes,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-1.4887614,,,,,Centro de Salud de Morata,,,,,,,,,,,,,,,,,,,,37.5891720,,,yes,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-0.3432593,,,,,Centro de Salud de Museros,,,,,,,,,,,,,,,,,,,,39.5633626,,Avinguda del País Valencià,clinic,yes,,,,Museros,,,46136,yes,,,,,,,,clinic,,,,,
,,doctors,,,,,,,,,,,,,,12,,-6.6089785,1,,,,Centro de Salud de Robleda,,,,,,,,,+34 486 502,,,,Salamanca,,,,+34 923 486 251,,,40.3842977,,Calle Calzada,yes,,,,,El Robleda,,,37521,,,,,,,,,,,,ES,,
,,doctors,,,,,,,,,,,,,,,,-7.0188565,,,,,Centro de Salud de Santa Eulalia de Oscos,,,,,,,,,,,,,,,,,,,,43.2580747,,,yes,,,,,Santa Eulalia de Oscos,,,,,,,,,,,,clinic,,,,,
,,doctors,,,,,,,,,,,,,,,,-13.5581775,,,,,Centro de Salud de Titerroy,,,,,,,,,,,,,,,,,,,,28.9670874,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-2.7319678,,,,,Centro de Salud nº 10 - Rioja Alta,,,,,,,,http://www.riojasalud.es/ciudadanos/centros-y-servicios/centros-de-salud?start=15,,,,,,,,,,,,42.4188525,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,general;emergency;paediatrics;cardiology;dermatology;dialysis;radiology;internal,,,,,,,,,SACyL,,,,,-4.7102863,,24/7,,,Centro de especilidades Pilarica,,,,,,,,https://www.saludcastillayleon.es/HCUValladolid/es/centros-asistenciales/centro-especialidades-pilarica,,,,,,,,,+34 983 34 04 77,,,41.6538194,,Paseo del Cauce,public,yes,,,,Valladolid,,,47013,yes,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,Sespa,,,,,-5.4106667,,,,,Centro de salud,,,,,,,,,,,,,,,,,,,,43.4166386,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,,,-0.5878034,,,,,Centro de salud,,,,,,,,,,,,,,,,,,,,38.2948181,,Carrer Mestre Antonio Cutillas,,,,,,Torrellano,,,03320,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,1,,-2.4321728,,,,,Centro de salud Joaquín Elizalde,,,,,,joaquin.elizalde@riojasalud.es,,http://www.riojasalud.es/,,,,,,,,,,,,42.4666098,,San José de Calasanz,,,,,,Logroño,,,26004,yes,,,,,,,,doctor,,,ES,,
,,doctors,,,,,,,,,,,,,,,yes,-5.9794642,,,,,Centro de salud Ronda Histórica,,,,,,,,,,,,,,,,,,,,37.3984924,,Carretera de Carmona,public,,,,,,,,41008,yes,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,-5.3941599,,,,,Centro médico San Roque,,,,,,,,,,,,,,,,,,,,36.2094920,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,SaCyL,,,,,-4.4258522,,,,,Centro médico de Atención Primaria,,,,,,,,,,,,,,,,,,,,41.0806675,,,yes,,,,,,,,,yes,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,Clinica Ferreruela,34,,0.6153006,,,,,Clinica Ferresuela,WalkingPapers; PNOA,,,,,,,,,,,,,,,2008,,,,41.6200751,,Avinguda del Doctor Fleming,house,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,2.7518634,,,,,Clínic Balear,,,,,,,,,,,,,,,,,,,,39.5003760,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,322,,2.1386014,2,,,,Clínica Eugin,Ajuntament de Barcelona - CartoBCN (@2013-11-10),,,,,,,https://www.eugin.es/barcelona/,,,,,,,,,,,,41.3887463,no,Travessera de les Corts,,,,,,Barcelona,,,08029,,,,,,,,,birthing_center,,,,,
,,doctors,,plastic_surgery,,,,,,,,,,,,,,2.1159622,,,,,Clínica Planas,,,,,,,,,,,,,,,,,,,,41.3992361,,,,,,,,,,,,,,,,,,,,,,,,,
,,doctors,,,,,,,,,Q87762243,,,,,,,-1.6547705,4,,,,Clínica Psiquiátrica Padre Menni,,,,,,,,,,,,,,,,,,,,42.8250054,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,,,,,,42,,-4.4007048,,,,,Clínica Radiologica Doctor Mario Gallegos,,,,,,,,,,,,,,,,,,,,36.7220012,,Paseo de Sancha,,,,,,Málaga,,,29016,,,,,,,,,doctor,,,ES,,
,,doctors,,,,,,,,,,,,,,,,-7.9567663,,,,,Clínica San Rosendo,,,,,,,,,,,,,,,,,,,,42.1506670,,,yes,,,,,,,,,,,,,,,,,doctor,,,,,
,,doctors,,,,,,,,,Q87761953,,,,,,,0.6264583,,,,,Clínica de Ponent,,,,,,,,,,,,,,,,,,,,41.6223237,,,hospital,,,,,,,,,,,,,,,,,,,,,,
