shop,health_facility:type,office,building:part,indoor,payment:alipay,payment:cash,currency:others,postal_code,language:tr,source:outline,construction_year,source:position,addr:housenumber,toilets,payment:debit_cards,payment:unionpay,addr:state,name:de,source,image,fax,survey:date,note:de,building:roof,ref:lda,contact:facebook,historic,currency:EUR,tourism,wikimedia_commons,addr:street,delivery,source:name,fixme,contact:fax,name,wheelchair:description,level,addr:postcode,roof:material,website:operator,payment:credit_cards,payment:contactless,lastcheck,roof:orientation,internet_access,payment:mastercard,opening_hours:text,house,designation,roof:height,owner,BLfD:criteria,fixme:wikipedia,payment:american_express,source:addr,payment:maestro,network,lda:criteria,internet_access:fee,wikipedia,access,ref:Alsdorf,check_date,language:en,ref,email,building:height,contact:email,opening_hours:lastcheck,roof:shape,building:use,tenant,atm,source:geometry,addr:city,source:building,language:de,toilets:wheelchair,drive_through,lon,contact:website,roof:colour,layer,height,phone:mobile,alt_name,operator,ele,emergency:iodine_tablets,wheelchair:description:en,area,opening_hours,payment:jcb,contact:phone,addr:housename,check-date,heritage,ref:BLfD,type,start_date,website,addr:unit,payment:ep_geldkarte,lfd:criteria,brand,source:date,phone,old_name,smoking,payment:cryptocurrencies,payment:account_cards,opening_hours:signed,internet_access:operator,room,tunnel,roof,wheelchair:description:de,buildingpart,dispensing,wheelchair,inscription,amenity,operator:type,addr:hamlet,addr:suburb,payment:discover_card,wikidata,payment:notes,language:ru,payment:v_pay,medical_system:western,addr:district,payment:girocard,building:levels,payment:visa_debit,surveillance,note,demolished,opening_hours:check_date,ref:lfd,description,building:material,healthcare,payment:visa,building:architecture,lat,source:metrics,3dr:type,building,building:colour,payment:coins,url,roof:levels,source:address,source:addr:housenumber,payment:diners_club,year_of_construction,addr:country,heritage:operator
,,,,,,,,,,,,,1 a,,,,,,,,+49 8641 697278,,,,,,,,,,Pettendorfer Straße,,,,,Achental-Apotheke,,,83250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@achental-apotheke.de,,,,,,,Marquartstein,,,,,12.4613623,,,,,,,,,,,,"Mo-Fr 08:00-12:00,14:00-18:30; Sa 08:00-12:00",,,,,,,,,www.achental-apotheke.de,,,,,,+49 8641 687277,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,47.7593033,,,yes,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Ravensburger Straße,,,,,Achtal-Apotheke,,,88255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baienfurt,,,,,9.6496560,,,,,,,,,,,,"Mo-Sa 8:00-13:00, Mo-Fr 14:00-18:30",,,,,,,,,http://www.achtalapotheke.de,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,47.8257634,,,yes,,,,,,,,,,
,,,,,,,,,,,,,496,,,,,,,,,,,,,,,,,,Berthold-Beitz-Boulevard,,,,,Activ Apotheke,,,45141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Essen,,,,,6.9996965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,51.4727488,,,yes,,,,,,,,,,
,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adler Apotheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7163588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,51.6681793,,,,,,,,,,,,,
,,,,,,,,,,,,,11,,,,,,,,+49 5683 999922,,,,,,,,,,Landgrafenstraße,,,,,Adler Apotheke,,,34590,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@adler-apotheke-wabern.de,,,,,,,,,Wabern,,,,,9.3502532,,,,,,,,,,,,"Mo-Fr 08:30-18:00; We,Sa 08:30-12:30",,,,,,,,,https://www.adler-apotheke-wabern.de/,,,,,,+49 5683 99990,,,,,,,,,,,,,yes,,pharmacy,,,Wabern,,,,,,,,,,,,,,,,,,pharmacy,,,51.1010633,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,Am Markt,,,,,Adler Apotheke,,,16766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kremmen,,,,,13.0252121,,,,,,,Sebastian Kretzschmar,,,,,,,,,,,,,,,,,,,,+49330557780,,,,,,,,,,,,,no,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,52.7604461,,,residential,,,,,,,,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Straße der Einheit,,,,,Adler Apotheke,,,39393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am Großen Bruch,,,,,11.0850899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,52.0613964,,,yes,,,,,,,,,,
,,,,,,,,,,,,,15a,,,,,,,,,,,,,,,,,,Hauptstraße,,,,+49 2902 595 64,Adler Apotheke,,,59581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warstein,,,,,8.3552908,,,,,,,Ursula Hemieda e.K,,,,,,,+49 2902 2533,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,51.4488794,,,commercial,,,,,,,,,DE,
,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,Martin-Luther-Straße,,,,,Adler Apotheke,,,04808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wurzen,,,,,12.7432712,,,,,,,,,,,,Mo-Th 08:00-18:30; Fr 08:00-18:00; Sa 08:30-12:00,,,,,,,,,https://www.adler-wurzen.de/,,,,,,,,,,,,,,,,,,,no,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,51.3703721,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,7,,,,,,"Bing, LGL, www.lgl-bw.de",,,,,,,,,,,,Hauptstraße,,,,,Adler Apotheke,,,73560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Böbingen an der Rems,,,,,9.9192375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,48.8214858,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,2a,,,,,,,,,,,,,,,,,,Geibelstraße,,,,,Adler Apotheke,,,30890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barsinghausen,,,,,9.5151020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,Egestorf,,,,,,,,,,,,,,,,,,,,,52.2831721,,,yes,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,Langer Markt,,,,,Adler Apotheke,,,54411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hermeskeil,,,,,6.9468969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,49.6553640,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adler Apotheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6084068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,49.5830842,,,yes,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Haunerbusch,,,,,Adler Apotheke,,,58566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kierspe,,,,,7.6012027,,,,,,,,,,,,"Mo,Tu,Th,Fr 08:30-12:30,14:30-18:30, We 08:30-12:30",,,,,,,,,https://www.apotheken.de/club/58566/adler-apotheke/,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,51.1260433,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,Graf-Salm-Straße,,,,+49227283171,Adler Apotheke,,,50181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@gesundheitszentrum-kirsten.de,,,,,,,Bedburg,,,,,6.5752163,http://www.gesundheitszentrum-kirsten.de/,,,,,,Eckhard Kirsten,,,,,"Mo-Fr 08:30-13:00,14:30-18:30; Sa 08:30-13:00",,+4922722114,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.9953758,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adler Apotheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9661151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.7399712,,,yes,,,,,,,,,,
,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,Friedrich-Engels-Straße,,,,,Adler Apotheke - Am Alten Rhin,,,16827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neuruppin,,,,,12.8422693,,,,,,,Karen Glaser,,,,,,,+49 3391 771388,,,,,,,https://www.adlerapotheke-glaser.de/,,,,,,+49 3391 771388,,,,,,,,,,,,yes,,,pharmacy,,,Alt Ruppin,,,,,,,,,,,,,,,,,,,,,52.9502652,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,Allee,,,,,Adler Apotheke Schulungszentrum,,,31592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stolzenau,,,,no,9.0771943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,52.5117376,,,yes,,,,,,,,,,
,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,Königstraße,,,,,Adler-Apotheke,,,32584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Löhne,,,,,8.7169210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,52.1940375,,,yes,,,,,,,,,DE,
,,,,,,yes,,,,,,,45b,,,,,,,,,,,,,,,,,,Lange Straße,,,,,Adler-Apotheke,,,29459,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,Clenze,,,,,10.9543378,http://www.apotheke-clenze.de/,,,,,,,,,,,"Mo-Fr 08:00-12:30,14:30-18:00; Sa 08:00-12:00",,+49 5844 244,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,yes,,,,,,,,,,pharmacy,,,52.9355253,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,13,,,,,,own aerial image,,,,,,,,,,,,Schuchmannstraße,,,,,Adler-Apotheke,,,74080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gambrel,,,,,Heilbronn,,,,,9.1917964,,,,,,,,,,,,Mo-Fr 08:00-18:30; Sa 08:30-12:30,,+49 7131 381003,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,,pharmacy,,,,,Q358022,,,,,,,2,,,,,,,,,,,,49.1337807,,,residential,,,,1,,,,,DE,
,,,,,,,,,,,,,24,,,,,,,,+49 3901 81159,,,,,,,,,,Neuperverstraße,,,,,Adler-Apotheke,,,29410,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@adler-saw.de,,,,,,,,,Salzwedel,,,no,,11.1532370,,,,,,,Katrin Roth,,,,,Mo-Fr 08:00-18:30; Sa 08:00-13:00,,,,,,,,,https://www.adler-saw.de/,,,,,,+49 3901 81160,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,52.8527053,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,1,,,,,,"Maps4BW (LGL-BW, www.lgl-bw.de)",,,,,,,,,,,,Fellbacher Straße,,,,,Adler-Apotheke,,,71394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kernen im Remstal,,,,,9.3178019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,limited,,pharmacy,,,Rommelshausen,,,,,,,,,,,,,,,,,,,,,48.8082859,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,9,,,,,,survey;Yahoo_aerial_imagery,,,,,,,,,,,,Rottwerndorfer Straße,,,,,Adler-Apotheke,,,01796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pirna,,,,,13.9398574,http://www.adlerapotheke-pirna.de/,,,,,,Heike Iwan,,,,,Mo-Fr 08:00-18:00; Sa 08:30-12:00,,+49 3501 781525,,,,,,,,,,,,,,,,,,,,,,,,,,no,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.9535139,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,2,,,,,,,,+49 234 293323,,,,,,,,,,Unterstraße,,,,,Adler-Apotheke,,0,44892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flat,,,,,Bochum,,,,,7.3237832,,,,,,,Dr. Seidenstücker,,,,,"Mo-Fr 08:00-18:30; We,Sa 08:00-13:00",,,,,,,,,http://www.adler-apotheke-langendreer.de/,,,,,,+49 234 287120,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,4,,,,,,,,,pharmacy,,,51.4738174,,,retail,,,,1,,,,,DE,
,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,Lange Straße,,,,,Adler-Apotheke,,,17440,,,,,,,,,,,,,,,,,,,,,,,,,,,,koester@adler-apotheke-lassan.de,,,,,,,,,Lassan,,,,,13.8509395,,,,,,,,,,,,"Mo-Tu,Th-Fr 08:00-12:00,14:30-18:00; We 17:00-18:00; Sa 09:00-11:00",,,,,,,,,https://www.adler-apotheke-usedom.de/adler-apotheke-lassan/index.html,,,,,,+49 38374 80237,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,53.9486671,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,Theodor-Heuss-Straße,,,,,Adler-Apotheke,,,90765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fürth,,,,,10.9774839,,,,,,,,,,,,"Mo-Fr 8:30-18:30, Sa 8:30-13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,49.5079983,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adler-Apotheke,,,32289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rödinghausen,,,,,8.4801123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,Rödinghausen,,,,,,,,,,,,,,,,,,,,,52.2527093,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Uferstraße,,,,,Adlerapotheke,,,09380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thalheim/Erzgebirge,,,,,12.8474378,,,,,,,,,,,,Mo-Fr 08:00-18:00; Sa 08:00-12:00,,,,,,,,,https://www.adler-apo-thalheim.de/,,,,,,+49372184194,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.6986323,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,Hahnenstraße,,,,,Adlerapotheke,,,50171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerpen,,,,,6.6937767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.8708217,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,17a,,,,,,,,,,,,,,,,,,Auf der Bult,,,,,Adlerapotheke,,,27574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bremerhaven,,,,,8.6071216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,53.5232325,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,107,,,,,,,,+49 2041 790175,,,,,,,,,,Aegidistraße,,,,,Aegidi-Apotheke,,,46240,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@aegidi-apotheke.de,,,,,,,,,Bottrop,,,,,6.9485984,,,,,,,Michael Determann,,,,,"Mo,Tu,Th,Fr 08:00-13:00,15:00-18:30; We,Sa 09:00-13:00",,,,,,,,,http://www.aegidi-apotheke.de/,,,,,,+49 2041 790174,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,51.5397087,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,Offenbacher Straße,,,,,Aesculap Apotheke,,,63165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mühlheim am Main,,,no,,8.8269571,,,,,,,,,,,,"Mo - Fr 08:00 - 13:00, 14:30 - 18:30; Sa 08:00 - 13:00",,,,,,,,,http://www.ihre-aesculap.de/,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.1233756,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,St. Jacober Hauptstraße,,,,,Aesculap-Apotheke,,,08132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mülsen,,,,,12.5769594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,pharmacy,,,Mülsen St. Jacob,,,,,,,,,,,,,,,,,,,,,50.7353685,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,Bahnhofstraße,,,,,Aesculap-Apotheke,,,51597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morsbach,,,,,7.7255403,http://www.apotheke-tschauder.de/,,,,,,,,,,,Mo-Sa 08:30-13:00; Mo-Fr 14:30-18:30,,+49 2294 327,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.8644328,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,Bahnhofstraße,,,,,Aesculap-Apotheke,,,34212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melsungen,,,,,9.5493807,http://www.aesculapapotheke.net/,,,,,,Eva Seitz,,,,,Mo-Fr 08:30-19:00; Sa 08:30-13:00,,+49 5661 6028,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,pharmacy,,,51.1304787,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,Königstraße,,,,+49 2261 984515,Agger-Apotheke,,,51645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gummersbach,,,,,7.5237579,http://www.agger-apotheke.de/,,,,,,Wolfgang Simons,,,,,Mo-Sa 08:30-13:00; Mo-Fr 14:30-18:30,,+49 2261 98450,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.9827842,,,yes,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,Chemnitzer Straße,,,,,Agricola Apotheke,,,08371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glauchau,,,,,12.5459673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,50.8169811,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,50,,,,,,http://www.apotheke-velten-vehlefanz.de/,,,,,,,,,,,,Lindenallee,,,,,Ahorn Apotheke,,,16727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oberkrämer,,,,,13.0988354,,,,,,,Ivonne Rittner,,,,,Mo-Fr 08:00-19:00; Sa 08:00-13:00,,,,,,,,,https://apotheke-velten-vehlefanz.de/,,,,,,+49 3304 203462,,,,,,,,,,,,yes,yes,,pharmacy,,,Vehlefanz,,,,,,,,,,,,,,,,,,,,,52.7191412,,,house,,,,,,,,,DE,
