time_zone,std_abbr,dst_abbr,std_offset,dst_offset,std_full,dst_full,place_name,place_id,region_code,region_name,country_code,country_name,latitude,longitude
Europe/Madrid,CET,CEST,1,2,Central European Time,Central European Summer Time,Madrid,ChIJgTwKgJcpQg0RaSKMYcHeNsQ,,,ES,Spain,40.4167754,-3.7037902
Europe/Malta,CET,CEST,1,2,Central European Time,Central European Summer Time,Valletta,ChIJxUeGHShFDhMRF8lC4o7TWnQ,,,MT,Malta,35.8989085,14.5145528
Europe/Mariehamn,EET,EEST,2,3,Eastern European Time,Eastern European Summer Time,Mariehamn,ChIJ7TXGu5vDikYRzZqPbAILQkY,,,AX,Åland Islands,60.0970945,19.9348339
Europe/Minsk,MSK,MSK,3,3,Moscow Time,,Minsk,ChIJ02oeW9PP20YR2XC13VO4YQs,,,BY,Belarus,53.9045398,27.5615244
Europe/Monaco,CET,CEST,1,2,Central European Time,Central European Summer Time,Monaco City,ChIJ2Y7LAInCzRIRkCuP_aUZCAQ,,,MC,Monaco,43.7308084,7.4225881
Europe/Moscow,MSK,,3,3,Moscow Time,,Moscow,ChIJybDUc_xKtUYRTM9XV8zWRD0,,Moskva Oblast,RU,Russia,55.755826,37.6173
Europe/Oslo,CET,CEST,1,2,Central European Time,Central European Summer Time,Oslo,ChIJOfBn8mFuQUYRmh4j019gkn4,,,NO,Norway,59.9138688,10.7522454
Europe/Paris,CET,CEST,1,2,Central European Time,Central European Summer Time,Paris,ChIJD7fiBh9u5kcRYJSMaMOCCwQ,,,FR,France,48.856614,2.3522219
Europe/Podgorica,CET,CEST,1,2,Central European Time,Central European Summer Time,Podgorica,ChIJfYYGlgfoTRMR6YpY6naK92s,,,ME,Montenegro,42.4304196,19.2593642
Europe/Prague,CET,CEST,1,2,Central European Time,Central European Summer Time,Prague,ChIJi3lwCZyTC0cRkEAWZg-vAAQ,,,CZ,Czechia,50.0755381,14.4378005
Europe/Riga,EET,EEST,2,3,Eastern European Time,Eastern European Summer Time,Riga,ChIJ7T0H5bDP7kYRMP7yaM3PAAQ,,,LV,Latvia,56.9496487,24.1051864
Europe/Rome,CET,CEST,1,2,Central European Time,Central European Summer Time,Rome,ChIJu46S-ZZhLxMROG5lkwZ3D7k,,,IT,Italy,41.9027835,12.4963655
Europe/Samara,SAMT,,4,4,Samara Time,,Samara,ChIJ03nYK-IYZkERCwM6u6nNlbo,,Samara Oblast,RU,Russia,53.2415041,50.2212463
Europe/San_Marino,CET,CEST,1,2,Central European Time,Central European Summer Time,San Marino,ChIJeT_m9V_rLBMRECA0gpnzAAA,,,SM,San Marino,43.94236,12.457777
Europe/Sarajevo,CET,CEST,1,2,Central European Time,Central European Summer Time,Sarajevo,ChIJ0Ztx7bHLWEcRPrOH3qbNLlY,,,BA,Bosnia and Herzegovina,43.8562586,18.4130763
Europe/Simferopol,MSK,,3,3,Moscow Time,,Simferopol,ChIJxRyZ397d6kARQAt4vC9CKZw,,,UA,Ukraine,44.952117,34.102417
Europe/Skopje,CET,CEST,1,2,Central European Time,Central European Summer Time,Skopje,ChIJpaKajKUVVBMRICCHYMKI7bI,,,MK,Macedonia,41.9973462,21.4279956
Europe/Sofia,EET,EEST,2,3,Eastern European Time,Eastern European Summer Time,Sofia,ChIJ9Xsxy4KGqkARYF6_aRKgAAQ,,,BG,Bulgaria,42.6977082,23.3218675
Europe/Stockholm,CET,CEST,1,2,Central European Time,Central European Summer Time,Stockholm,ChIJywtkGTF2X0YRZnedZ9MnDag,,,SE,Sweden,59.3293235,18.0685808
Europe/Tallinn,EET,EEST,2,3,Eastern European Time,Eastern European Summer Time,Tallinn,ChIJvxZW35mUkkYRcGL8GG2zAAQ,,,EE,Estonia,59.4369608,24.7535746
Europe/Tirane,CET,CEST,1,2,Central European Time,Central European Summer Time,Tirane,ChIJ28X6cAQxUBMRIDdlEK-SAAQ,,,AL,Albania,41.3275459,19.8186982
Europe/Uzhgorod,EET,EEST,2,3,Eastern European Time,Eastern European Summer Time,Uzhgorod,ChIJ2eO2RLkZOUcRPCoEMAGupg0,,,UA,Ukraine,48.6208,22.287883
Europe/Vaduz,CET,CEST,1,2,Central European Time,Central European Summer Time,Vaduz,ChIJ835RXGYxm0cRgnsbyn3ZQ1E,,,LI,Liechtenstein,47.1410303,9.5209277
Europe/Vatican,CET,CEST,1,2,Central European Time,Central European Summer Time,Vatican City,ChIJPS3UVwqJJRMRsH46sppPCQA,,,VA,Vatican City,41.902916,12.453389
Europe/Vienna,CET,CEST,1,2,Central European Time,Central European Summer Time,Vienna,ChIJn8o2UZ4HbUcRRluiUYrlwv0,,,AT,Austria,48.2081743,16.3738189
Europe/Vilnius,EET,EEST,2,3,Eastern European Time,Eastern European Summer Time,Vilnius,ChIJ9QhkXPuT3UYRQNzpcIzRAAQ,,,LT,Lithuania,54.6871555,25.2796514
Europe/Volgograd,VOLT,,4,4,Volgograd Time,,Volgograd,ChIJZ3ZbuHUzBUERQdpXzpwXDYg,,Volgograd Oblast,RU,Russia,48.708048,44.5133034
Europe/Warsaw,CET,CEST,1,2,Central European Time,Central European Summer Time,Warsaw,ChIJAZ-GmmbMHkcR_NPqiCq-8HI,,,PL,Poland,52.2296756,21.0122287
Europe/Zagreb,CET,CEST,1,2,Central European Time,Central European Summer Time,Zagreb,ChIJOcwCyZLWZUcRisL7KJYkRTo,,,HR,Croatia,45.8150108,15.981919
Europe/Zaporozhye,EET,EEST,2,3,Eastern European Time,Eastern European Summer Time,Zaporizhia,ChIJA7uF-j1n3EARSj9NB9lcZ34,,,UA,Ukraine,47.8388,35.139567
Europe/Zurich,CET,CEST,1,2,Central European Time,Central European Summer Time,Zürich,ChIJGaK-SZcLkEcRA9wf5_GNbuY,,,CH,Switzerland,47.3768866,8.541694
Europe/Cyprus,EET,EEST,2,3,Eastern European Time,Eastern European Summer Time,-,ChIJGaK-SZcLkEcRA9wf5_GNbuY,,,CY,Cyprus,-,-
